id,code,display
1,"11369-6","History of Immunization"
2,"11485-0","Anesthesia records"
3,"11486-8","Chemotherapy records"
4,"11488-4","Consult Note"
5,"11506-3","Provider-unspecified progress note"
6,"11543-6","Nursery records"
7,"15508-5","Labor and delivery records"
8,"18726-0","Radiology studies (set)"
9,"18761-7","Provider-unspecified transfer summary"
10,"18842-5","Discharge summary"
11,"26436-6","Laboratory Studies (set)"
12,"26441-6","Cardiology studies (set)"
13,"26442-4","Obstetrical studies (set)"
14,"27895-2","Gastroenterology endoscopy studies (set)"
15,"27896-0","Pulmonary studies (set)"
16,"27897-8","Neuromuscular electrophysiology studies (set)"
17,"27898-6","Pathology studies (set)"
18,"28570-0","Provider-unspecified procedure note"
19,"28619-5","Ophthalmology/optometry studies (set)"
20,"28634-4","Miscellaneous studies (set)"
21,"29749-9","Dialysis records"
22,"29750-7","Neonatal intensive care records"
23,"29751-5","Critical care records"
24,"29752-3","Perioperative records"
25,"34109-9","Evaluation and management note"
26,"34117-2",""Provider-unspecified  History and physical note""
27,"34121-4","Interventional procedure note"
28,"34122-2","Pathology procedure note"
29,"34133-9","Summarization of episode note"
30,"34140-4","Transfer of care referral note"
31,"34748-4","Telephone encounter note"
32,"34775-7","General surgery Pre-operative evaluation and management note"
33,"47039-3","Inpatient Admission history and physical note"
34,"47042-7","Counseling note"
35,"47045-0","Study report Document"
36,"47046-8","Summary of death"
37,"47049-2","Non-patient Communication"
38,"57017-6","Privacy Policy Organization Document"
39,"57016-8","Privacy Policy Acknowledgment Document"
40,"56445-0","Medication Summary Document"
41,"53576-5","Personal health monitoring report Document"
42,"56447-6","Plan of care note"
43,"18748-4","Diagnostic imaging study"
44,"11504-8","Surgical operation note"
45,"57133-1","Referral note"
