id,code,display
1,"_ActAccountCode","ActAccountCode"
2,"ACCTRECEIVABLE","account receivable"
3,"CASH","Cash"
4,"CC","credit card"
5,"AE","American Express"
6,"DN","Diner's Club"
7,"DV","Discover Card"
8,"MC","Master Card"
9,"V","Visa"
10,"PBILLACCT","patient billing account"
11,"_ActAdjudicationCode","ActAdjudicationCode"
12,"_ActAdjudicationGroupCode","ActAdjudicationGroupCode"
13,"CONT","contract"
14,"DAY","day"
15,"LOC","location"
16,"MONTH","month"
17,"PERIOD","period"
18,"PROV","provider"
19,"WEEK","week"
20,"YEAR","year"
21,"AA","adjudicated with adjustments"
22,"ANF","adjudicated with adjustments and no financial impact"
23,"AR","adjudicated as refused"
24,"AS","adjudicated as submitted"
25,"_ActAdjudicationResultActionCode","ActAdjudicationResultActionCode"
26,"DISPLAY","Display"
27,"FORM","Print on Form"
28,"_ActBillableModifierCode","ActBillableModifierCode"
29,"CPTM","CPT modifier codes"
30,"HCPCSA","HCPCS Level II and Carrier-assigned"
31,"_ActBillingArrangementCode","ActBillingArrangementCode"
32,"BLK","block funding"
33,"CAP","capitation funding"
34,"CONTF","contract funding"
35,"FINBILL","financial"
36,"ROST","roster funding"
37,"SESS","sessional funding"
38,"FFS","fee for service"
39,"FFPS","first fill, part fill, partial strength"
40,"FFCS","first fill complete, partial strength"
41,"TFS","trial fill partial strength"
42,"_ActBoundedROICode","ActBoundedROICode"
43,"ROIFS","fully specified ROI"
44,"ROIPS","partially specified ROI"
45,"_ActCareProvisionCode","act care provision"
46,"_ActCredentialedCareCode","act credentialed care"
47,"_ActCredentialedCareProvisionPersonCode","act credentialed care provision peron"
48,"CACC","certified anatomic pathology and clinical pathology care"
49,"CAIC","certified allergy and immunology care"
50,"CAMC","certified aerospace medicine care"
51,"CANC","certified anesthesiology care"
52,"CAPC","certified anatomic pathology care"
53,"CBGC","certified clinical biochemical genetics care"
54,"CCCC","certified clinical cytogenetics care"
55,"CCGC","certified clinical genetics (M.D.) care"
56,"CCPC","certified clinical pathology care"
57,"CCSC","certified colon and rectal surgery care"
58,"CDEC","certified dermatology care"
59,"CDRC","certified diagnostic radiology care"
60,"CEMC","certified emergency medicine care"
61,"CFPC","certified family practice care"
62,"CIMC","certified internal medicine care"
63,"CMGC","certified clinical molecular genetics care"
