id,code,display
1,"82242000","Hospital-children's"
2,"225732001","Hospital-community"
3,"79993009","Hospital-government"
4,"32074000","Hospital-long term care"
5,"4322002","Hospital-military field"
6,"224687002","Hospital-prison"
7,"62480006","Hospital-psychiatric"
8,"80522000","Hospital-rehabilitation"
9,"36125001","Hospital-trauma center"
10,"48311003","Hospital-Veterans' Administration"
11,"284546000","Hospice facility"
12,"42665001","Nursing home"
13,"45618002","Skilled nursing facility"
14,"418518002","Dialysis unit--hospital"
15,"73770003","Emergency department--hospital"
16,"69362002","Hospital ambulatory surgery facility"
17,"52668009","Hospital birthing center"
18,"360957003","Hospital outpatient allergy clinic"
19,"10206005","Hospital outpatient dental clinic"
20,"37550003","Hospital outpatient dermatology clinic"
21,"73644007","Hospital outpatient endocrinology clinic"
22,"31628002","Hospital outpatient family medicine clinic"
23,"58482006","Hospital outpatient gastroenterology clinic"
24,"90484001","Hospital outpatient general surgery clinic"
25,"1814000","Hospital outpatient geriatric health center"
26,"22549003","Hospital outpatient gynecology clinic"
27,"56293002","Hospital outpatient hematology clinic"
28,"360966004","Hospital outpatient immunology clinic"
29,"2849009","Hospital outpatient infectious disease clinic"
30,"14866005","Hospital outpatient mental health center"
31,"38238005","Hospital outpatient neurology clinic"
32,"56189001","Hospital outpatient obstetrical clinic"
33,"89972002","Hospital outpatient oncology clinic"
34,"78088001","Hospital outpatient ophthalmology clinic"
35,"78001009","Hospital outpatient orthopedics clinic"
36,"23392004","Hospital outpatient otorhinolaryngology clinic"
37,"36293008","Hospital outpatient pain clinic"
38,"3729002","Hospital outpatient pediatric clinic"
39,"5584006","Hospital outpatient peripheral vascular clinic"
40,"37546005","Hospital outpatient rehabilitation clinic"
41,"57159002","Hospital outpatient respiratory disease clinic"
42,"331006","Hospital outpatient rheumatology clinic"
43,"50569004","Hospital outpatient urology clinic"
44,"79491001","Hospital radiology facility"
45,"33022008","Hospital-based outpatient clinic or department--OTHER-NOT LISTED"
46,"19602009","Fee-for-service private physicians' group office"
47,"39350007","Private physicians' group office"
48,"83891005","Solo practice private office"
49,"394759007","Independent ambulatory care provider site--OTHER--NOT LISTED"
50,"405607001","Ambulatory surgery center"
51,"309900005","Care of the elderly day hospital"
52,"275576008","Elderly assessment clinic"
53,"10531005","Free-standing ambulatory surgery facility"
54,"91154008","Free-standing birthing center"
55,"41844007","Free-standing geriatric health center"
56,"45899008","Free-standing laboratory facility"
57,"51563005","Free-standing mental health center"
58,"1773006","Free-standing radiology facility"
59,"72311000","Health maintenance organization"
60,"6827000","Local community health center"
61,"309898008","Psychogeriatric day hospital"
62,"39913001","Residential school infirmary"
63,"77931003","Rural health center"
64,"25681007","Sexually transmitted disease health center"
65,"20078004","Substance abuse treatment center"
66,"46224007","Vaccination clinic"
67,"81234003","Walk-in clinic"
68,"35971002","Ambulatory care site--OTHER--NOT LISTED"
69,"11424001","Ambulance-based care"
70,"409519008","Contained casualty setting"
71,"901005","Helicopter-based care"
72,"2081004","Hospital ship"
73,"59374000","Traveler's aid clinic"
74,"413456002","Adult day care center"
75,"413817003","Child day care center"
76,"310205006","Private residential home"
77,"419955002","Residential institution"
78,"272501009","Sports facility"
79,"394777002","Health encounter site--NOT LISTED"
