id,code,display
1,"408467006","Adult mental illness"
2,"394577000","Anesthetics"
3,"394578005","Audiological medicine"
4,"421661004","Blood banking and transfusion medicine"
5,"408462000","Burns care"
6,"394579002","Cardiology"
7,"394804000","Clinical cytogenetics and molecular genetics"
8,"394580004","Clinical genetics"
9,"394803006","Clinical hematology"
10,"408480009","Clinical immunology"
11,"408454008","Clinical microbiology"
12,"394809005","Clinical neuro-physiology"
13,"394592004","Clinical oncology"
14,"394600006","Clinical pharmacology"
15,"394601005","Clinical physiology"
16,"394581000","Community medicine"
17,"408478003","Critical care medicine"
18,"394812008","Dental medicine specialties"
19,"408444009","Dental-General dental practice"
20,"394582007","Dermatology"
21,"408475000","Diabetic medicine"
22,"410005002","Dive medicine"
23,"394583002","Endocrinology"
24,"419772000","Family practice"
25,"394584008","Gastroenterology"
26,"408443003","General medical practice"
27,"394802001","General medicine"
28,"394915009","General pathology"
29,"394814009","General practice"
30,"394808002","Genito-urinary medicine"
31,"394811001","Geriatric medicine"
32,"408446006","Gynecological oncology"
33,"394586005","Gynecology"
34,"394916005","Hematopathology"
35,"408472002","Hepatology"
36,"394597005","Histopathology"
37,"394598000","Immunopathology"
38,"394807007","Infectious diseases"
39,"419192003","Internal medicine"
40,"408468001","Learning disability"
41,"394593009","Medical oncology"
42,"394813003","Medical ophthalmology"
43,"410001006","Military medicine"
44,"394589003","Nephrology"
45,"394591006","Neurology"
46,"394599008","Neuropathology"
47,"394649004","Nuclear medicine"
48,"408470005","Obstetrics"
49,"394585009","Obstetrics and gynecology"
50,"394821009","Occupational medicine"
51,"422191005","Ophthalmic surgery"
52,"394594003","Ophthalmology"
53,"416304004","Osteopathic manipulative medicine"
54,"418960008","Otolaryngology"
55,"394882004","Pain management"
56,"394806003","Palliative medicine"
57,"394588006","Pediatric (Child and adolescent) psychiatry"
58,"408459003","Pediatric cardiology"
59,"394607009","Pediatric dentistry"
60,"419610006","Pediatric endocrinology"
61,"418058008","Pediatric gastroenterology"
62,"420208008","Pediatric genetics"
63,"418652005","Pediatric hematology"
64,"418535003","Pediatric immunology"
65,"418862001","Pediatric infectious diseases"
66,"419365004","Pediatric nephrology"
67,"418002000","Pediatric oncology"
68,"419983000","Pediatric ophthalmology"
69,"419170002","Pediatric pulmonology"
70,"419472004","Pediatric rheumatology"
71,"394539006","Pediatric surgery"
72,"420112009","Pediatric surgery-bone marrow transplantation"
73,"409968004","Preventive medicine"
74,"394587001","Psychiatry"
75,"394913002","Psychotherapy"
76,"408440000","Public health medicine"
77,"418112009","Pulmonary medicine"
78,"419815003","Radiation oncology"
79,"394914008","Radiology"
80,"408455009","Radiology-Interventional radiology"
81,"394602003","Rehabilitation"
82,"408447002","Respite care"
83,"394810000","Rheumatology"
84,"408450004","Sleep studies"
85,"408476004","Surgery-Bone and marrow transplantation"
86,"408469009","Surgery-Breast surgery"
87,"408466002","Surgery-Cardiac surgery"
88,"408471009","Surgery-Cardiothoracic transplantation"
89,"408464004","Surgery-Colorectal surgery"
90,"408441001","Surgery-Dental-Endodontics"
91,"408465003","Surgery-Dental-Oral and maxillofacial surgery"
92,"394605001","Surgery-Dental-Oral surgery"
93,"394608004","Surgery-Dental-Orthodontics"
94,"408461007","Surgery-Dental-Periodontal surgery"
95,"408460008","Surgery-Dental-Prosthetic dentistry (Prosthodontics)"
96,"408460008","Surgery-Dental-surgical-Prosthodontics"
97,"394606000","Surgery-Dentistry-Restorative dentistry"
98,"408449004","Surgery-Dentistry--surgical"
99,"394608004","Surgery-Dentistry-surgical-Orthodontics"
100,"418018006","Surgery-Dermatologic surgery"
101,"394604002",""Surgery-Ear  nose and throat surgery""
102,"394609007","Surgery-general"
103,"408474001","Surgery-Hepatobiliary and pancreatic surgery"
104,"394610002","Surgery-Neurosurgery"
105,"394611003","Surgery-Plastic surgery"
106,"408477008","Surgery-Transplantation surgery"
107,"394801008","Surgery-Trauma and orthopedics"
108,"408463005","Surgery-Vascular"
109,"419321007","Surgical oncology"
110,"394576009","Surgical-Accident & emergency"
111,"394590007","Thoracic medicine"
112,"409967009","Toxicology"
113,"408448007","Tropical medicine"
114,"419043006","Urological oncology"
115,"394612005","Urology"
116,"394733009","Medical specialty--OTHER--NOT LISTED"
117,"394732004","Surgical specialty--OTHER-NOT LISTED"
