id,code,display
1,"55107-7","Addendum Document"
2,"74155-3","ADHD action plan"
3,"51851-4","Administrative note"
4,"67851-6","Admission evaluation note"
5,"34744-3","Nurse Admission evaluation note"
6,"34873-0","Surgery Admission evaluation note"
7,"68552-9","Emergency medicine Emergency department Admission evaluation note"
8,"67852-4","Hospital Admission evaluation note"
9,"68471-2","Cardiology Hospital Admission evaluation note"
10,"68483-7","Cardiology Medical student Hospital Admission evaluation note"
11,"64058-1","Critical Care Medicine Hospital Admission evaluation note"
12,"64070-6","Critical care medicine Medical student Hospital Admission evaluation note"
13,"64053-2","General medicine Hospital Admission evaluation note"
14,"64054-0","General medicine Medical student Hospital Admission evaluation note"
15,"34862-3","General medicine Physician attending Hospital Admission evaluation note"
16,"64062-3","Pulmonary Hospital Admission evaluation note"
17,"64078-9","Pulmonary Medical student Hospital Admission evaluation note"
18,"64066-4","Surgery Medical student Hospital Admission evaluation note"
19,"64060-7","Thoracic surgery Hospital Admission evaluation note"
20,"64074-8","Thoracic surgery Medical student Hospital Admission evaluation note"
21,"51849-8","Admission history and physical note"
22,"34763-3","General medicine Admission history and physical note"
23,"47039-3","Hospital Admission history and physical note"
24,"34094-3","Cardiology Hospital Admission history and physical note"
25,"57830-2","Admission request Document"
26,"48765-2","Allergies and adverse reactions Document"
27,"74152-0","Anaphylaxis action plan"
28,"61359-6","Patient Anesthesia consent"
29,"57055-6","Antepartum summary note"
30,"56446-8","Appointment summary Document"
31,"51848-0","Assessment note"
32,"68814-3","Pediatrics Assessment note"
33,"64064-9","Pastoral care Hospital Assessment note"
34,"51847-2","Assessment + Plan note"
35,"69981-9","Asthma action plan"
36,"74154-6","Autism action plan"
37,"71230-7","Birth certificate Document"
38,"72134-0","Cancer event report"
39,"55108-5","Clinical presentation Document"
40,"73568-8","Communication of critical results [Description] Document"
41,"74144-7","Complex medical conditions action plan"
42,"55109-3","Complications Document"
43,"34095-0","Comprehensive history and physical note"
44,"34096-8","Nursing facility Comprehensive history and physical note"
45,"63485-7","Computer generated recommendation Document"
46,"55110-1","Conclusions Document"
47,"34098-4","Conference note"
48,"34097-6","Nursing facility Conference note"
49,"47040-1","Consultation 2nd opinion"
50,"47041-9","Hospital Consultation 2nd opinion"
51,"59284-0","Patient Consent"
52,"11488-4","Consult note"
53,"34099-2","Cardiology Consult note"
54,"34756-7","Dentistry Consult note"
55,"34758-3","Dermatology Consult note"
56,"34760-9","Diabetology Consult note"
57,"34879-7","Endocrinology Consult note"
58,"34761-7","Gastroenterology Consult note"
59,"34764-1","General medicine Consult note"
60,"34776-5","Geriatric medicine Consult note"
61,"34779-9","Hematology+Medical Oncology Consult note"
62,"34781-5","Infectious disease Consult note"
63,"72555-6","Interventional radiology Consult note"
64,"34783-1","Kinesiotherapy Consult note"
65,"34785-6","Mental health Consult note"
66,"34795-5","Nephrology Consult note"
67,"34798-9","Neurological surgery Consult note"
68,"34797-1","Neurology Consult note"
69,"34800-3","Nutrition and dietetics Consult note"
70,"34777-3","Obstetrics and Gynecology Consult note"
71,"34803-7","Occupational medicine Consult note"
72,"34855-7","Occupational therapy Consult note"
73,"34805-2","Oncology Consult note"
74,"34807-8","Ophthalmology Consult note"
75,"34810-2","Optometry Consult note"
76,"34812-8","Oral and Maxillofacial Surgery Consult note"
77,"34814-4","Orthopaedic surgery Consult note"
78,"34816-9","Otolaryngology Consult note"
79,"34820-1","Pharmacy Consult note"
80,"34822-7","Physical medicine and rehabilitation Consult note"
81,"34824-3","Physical therapy Consult note"
82,"34826-8","Plastic surgery Consult note"
83,"34828-4","Podiatry Consult note"
84,"34788-0","Psychiatry Consult note"
85,"34791-4","Psychology Consult note"
86,"34103-2","Pulmonary Consult note"
87,"34831-8","Radiation oncology Consult note"
88,"73575-3","Radiology Consult note"
89,"34833-4","Recreational therapy Consult note"
90,"34837-5","Respiratory therapy Consult note"
91,"34839-1","Rheumatology Consult note"
92,"34841-7","Social work Consult note"
93,"34845-8","Speech-language pathology+Audiology Consult note"
94,"34847-4","Surgery Consult note"
95,"34849-0","Thoracic surgery Consult note"
96,"34851-6","Urology Consult note"
97,"34853-2","Vascular surgery Consult note"
98,"51846-4","Emergency department Consult note"
99,"34104-0","Hospital Consult note"
100,"68619-6","Adolescent medicine Hospital Consult note"
101,"68633-7","Allergy and immunology Hospital Consult note"
102,"68639-4","Audiology Hospital Consult note"
103,"68486-0","Cardiology Medical student Hospital Consult note"
104,"68648-5","Child and adolescent psychiatry Hospital Consult note"
105,"68651-9","Clinical biochemical genetics Hospital Consult note"
106,"68661-8","Clinical genetics Hospital Consult note"
107,"64072-2","Critical care medicine Medical student Hospital Consult note"
108,"68551-1","Dermatology Hospital Consult note"
109,"68670-9","Developmental-behavioral pediatrics Hospital Consult note"
110,"64056-5","General medicine Medical student Hospital Consult note"
111,"68681-6","Multi-specialty program Hospital Consult note"
112,"68685-7","Neonatal perinatal medicine Hospital Consult note"
113,"68694-9","Neurological surgery Hospital Consult note"
114,"68705-3","Neurology with special qualifications in child neurology Hospital Consult note"
115,"68566-9","Obstetrics and Gynecology Hospital Consult note"
116,"68570-1","Occupational therapy Hospital Consult note"
117,"68575-0","Ophthalmology Hospital Consult note"
118,"68716-0","Pain medicine Hospital Consult note"
119,"68469-6","Pastoral care Hospital Consult note"
120,"68727-7","Pediatric cardiology Hospital Consult note"
121,"68892-9","Pediatric dermatology Hospital Consult note"
122,"68897-8","Pediatric endocrinology Hospital Consult note"
123,"68746-7","Pediatric gastroenterology Hospital Consult note"
124,"68757-4","Pediatric hematology-oncology Hospital Consult note"
125,"68765-7","Pediatric infectious diseases Hospital Consult note"
126,"68869-7","Pediatric nephrology Hospital Consult note"
127,"68874-7","Pediatric otolaryngology Hospital Consult note"
128,"68787-1","Pediatric pulmonology Hospital Consult note"
129,"68879-6","Pediatric rheumatology Hospital Consult note"
130,"68802-8","Pediatric surgery Hospital Consult note"
131,"68864-8","Pediatric transplant hepatology Hospital Consult note"
132,"68812-7","Pediatric urology Hospital Consult note"
133,"68821-8","Pediatrics Hospital Consult note"
134,"68586-7","Pharmacy Hospital Consult note"
135,"68590-9","Physical therapy Hospital Consult note"
136,"68597-4","Plastic surgery Hospital Consult note"
137,"68837-4","Primary care Hospital Consult note"
138,"34102-4","Psychiatry Hospital Consult note"
139,"64080-5","Pulmonary Medical student Hospital Consult note"
