id,code,display
1,"260421001","LLO projection"
2,"260422008","C1-C2 left oblique"
3,"260424009","RLO projection"
4,"260425005","C1-C2 right oblique"
5,"260426006","Medial oblique"
6,"260427002","Oblique lateral"
7,"260428007","Mandible X-ray - lateral oblique"
8,"260430009","Anteroposterior left lateral decubitus"
9,"260431008","C1-C2 left lateral"
10,"260432001","Left true lateral"
11,"260434000","Anteroposterior right lateral decubitus"
12,"260435004","C1-C2 right lateral"
13,"260436003","Right true lateral"
14,"260437007","Lateral vertical beam"
15,"260438002","Lateral horizontal beam"
16,"260439005","Lateral inverted"
17,"260440007","True lateral of mandible"
18,"260441006","Frog lateral"
19,"260442004","Erect lateral"
20,"260443009","Anteroposterior inverted"
21,"260444003","PA - Rotated posteroanterior"
22,"260445002","Posteroanterior 20 degree"
23,"260446001","Posteroanterior in ulnar deviation"
24,"260447005","Penetrated posteroanterior"
25,"260450008","Lordotic projection"
26,"260451007","Supine decubitus"
27,"260452000","Decubitus"
28,"260453005","Internal/external rotation"
29,"260454004","45 degree projection"
30,"260455003","Head and neck projection"
31,"260458001","Slit Towne"
32,"260459009","Reverse Towne"
33,"260460004","Slit 35 degree fronto-occipital"
34,"260461000","Vertex projection"
35,"260463002","Left Stenver"
36,"260464008","Right Stenver"
37,"260465009","Occipitofrontal projection"
38,"260466005","Occipitomental projection"
39,"260467001","Occipitomental - erect"
40,"260468006","Occipitomental - tilted"
41,"260469003","Occipitomental - prone"
42,"260470002","Occipitomental - 15 degree"
43,"260471003","Occipitomental - 30 degree"
44,"260472005","Occipitomental - 45 degree"
45,"260473000","Waters - 35 degree tilt to radiographic baseline"
46,"260475007","Submentovertical reduced exposure for zygomatic arches"
47,"260476008","Slit SMV"
48,"260477004","Dental/oral projection"
49,"260478009","Body - molar"
50,"260479001","Body - premolar"
51,"260481004","Ramus projection"
52,"260482006","Bimolar projection"
53,"260483001","Toller projection"
54,"260484007","Transmaxillary projection"
55,"260485008","Temporomandibular joint setting"
56,"260486009","Maxillary sinus setting"
57,"260487000","Dental panoramic"
58,"260489002","Implant setting projection"
59,"260490006","Segmental setting"
60,"260491005","Axial view for sesamoid bones"
61,"260492003","Brewerton projection"
62,"260493008","Harris Beath axial projection"
63,"260494002","Tunnel projection"
64,"260496000","Judet projection"
65,"260497009","Mortice projection"
66,"260499007","Occlusal projection"
67,"260500003","Projected oblique occlusal"
68,"260501004","Lower true occlusal"
69,"260502006","Power grip series"
70,"260503001","Radial head projection"
71,"260504007","Skyline projection"
72,"260506009","Van Rosen projection"
73,"272455005","Inferosuperior projection"
74,"272456006","Apical projection"
75,"272457002","Vertical projection"
76,"272458007","Prone projection"
77,"272459004","Supine projection"
78,"272460009","Anterior projection"
79,"272461008","Right posterior projection"
80,"272462001","Left posterior projection"
81,"272464000","Perorbital projection"
82,"272465004","Temporomandibular joint projection"
83,"272466003","Optic foramen projection"
84,"272467007","Lateral facial skeleton projection"
85,"272468002","Ear projection"
86,"272469005","Mid face projection"
87,"272470006","Cervical spine projection"
88,"272472003","Macro projection"
89,"272473008","Outlet projection"
90,"272474002","Swimmer's projection"
91,"272475001","Tibial tuberosity projection"
92,"272476000","Transthoracic projection"
93,"272478004","Transcranial projection"
94,"272479007","Posteroanterior projection"
95,"272480005","Horizontal projection"
96,"272481009","Erect projection"
97,"272482002","Adduction projection"
98,"272483007","True projection"
99,"272484001","Contralateral projection"
100,"278255003","Posterior projection"
101,"278267001","Abduction projection"
102,"278318001","Zimmer projection"
103,"398996004","Leonard-George projection"
104,"399000008","Mayer projection"
105,"399001007","Posterior emissive projection"
106,"399002000","Nolke projection"
107,"399003005","Hughston projection"
108,"399004004","Oblique axial projection"
109,"399005003","Miller projection"
110,"399006002","Left posterior oblique projection"
111,"399011000","Axillary tail mammography view"
112,"399012007","Medial-lateral emissive projection"
113,"399013002","Chassard-Lapin projection"
114,"399022001","Pirie projection"
115,"399024000","May projection"
116,"399025004","Ischerwood projection"
117,"399026003","Zanelli projection"
118,"399028002","Clements projection"
119,"399033003","Frontal projection"
120,"399037002","Lewis projection"
121,"399038007","Right posterior oblique projection"
122,"399059000","Postero-anterior oblique projection"
123,"399061009","Axial projection"
124,"399065000","Causton projection"
125,"399067008","Lateral projection"
126,"399071006","Plantodorsal projection"
127,"399073009","Fuchs projection"
128,"399074003","Left anterior oblique emissive projection"
129,"399075002","Right posterior oblique emissive projection"
130,"399080006","Kuchendorf projection"
131,"399082003","Gaynor-Hart projection"
132,"399083008","Hsieh projection"
133,"399089007","Oblique axial emissive projection"
134,"399098005","Staunig projection"
135,"399099002","Latero-medial oblique projection"
136,"399101009","Cranio-caudal projection exaggerated medially"
137,"399103007","Friedman projection"
