id,code,display
1,"261000","Codeine phosphate"
2,"336001","Fibrinogen Tokyo II"
3,"363000","Fibrinogen San Juan"
4,"519005","Free protein S"
5,"585007","SP - Substance P"
6,"693002","Trichothecene"
7,"698006","Erythromycin lactobionate"
8,"699003","Coal tar extract"
9,"747006","Oxamniquine"
10,"873008","Urethan"
11,"925002","Sodium iodipamide"
12,"1018001","Nornicotine"
13,"1025008","^93^Molybdenum"
14,"1057009","Phosphate salt"
15,"1091008","Coagulation factor inhibitor"
16,"1171004","Fibrinogen Kawaguchi"
17,"1190007","Mephenoxalone"
18,"1244009","Fibrinogen Madrid I"
19,"1269009","Amikacin sulfate"
20,"1325004","Metocurine iodide"
21,"1336006","Deoxycortone"
22,"1355006","Coagulation factor IX Oxford 3 variant"
23,"1368003","Iodine 131"
24,"1381005","^126^Iodine"
25,"1450002","Methylpentynol"
26,"1476002","Codeine sulfate"
27,"1536005","Pargyline hydrochloride"
28,"1575001","Maltose tetrapalmitate"
29,"1603001","Cobalt isotope"
30,"1668008","Ceforanide"
31,"1914001","von Willebrand factor antibody"
32,"1944003","Coagulation factor X Patient variant"
33,"1956002","Buclizine hydrochloride"
34,"1971003","Loxapine hydrochloride"
35,"2029004","Fibrinogen Oslo II"
36,"2125008","Betazole"
37,"2195004","Tocainide hydrochloride"
38,"2197007","Boric acid topical agent"
39,"2201007","Bacteriopurpurin"
40,"2212007","Fibrinogen Bethesda II"
41,"2215009","Azuresin"
42,"2249001","Gentamicin sulfate"
43,"2264001","Selenium isotope"
44,"2346005","Vascormone"
45,"2537003","Antituberculosis agent"
46,"2660003","Sodium dehydrocholate"
47,"2680002","Factor XIII antibody"
48,"2796008","Methanthelinium"
49,"2799001","Methylbenzethonium"
50,"2869004","Ethanoic acid"
51,"2878005","Pethidine hydrochloride"
52,"2927004","Rescinnamine"
53,"2958003","Zinc caprylate"
54,"2964005","Dimethoxyamphetamine"
55,"2991007","Mecamylamine hydrochloride"
56,"2995003","Arecoline"
57,"3031003","Dihydroxyaluminum sodium carbonate"
58,"3066001","Triiodothyroacetic acid"
59,"3087006","Oil of male fern"
60,"3136005","Cefoperazone sodium"
61,"3142009","Azacyclonol"
62,"3145006","Penicillic acid"
63,"3209002","Pancuronium sodium"
64,"3212004","Manganese sulfate"
65,"3225007","Fibrinogen Seattle I"
66,"3342004","Copper isotope"
67,"3378009","Imipramine hydrochloride"
68,"3379001","Merthiolate"
69,"3501003","Isoxsuprine hydrochloride"
70,"3592004","Short-acting thyroid stimulator"
71,"3597005","Acebutolol hydrochloride"
72,"3617004","^79^Selenium"
73,"3672002","Fibrinogen Caracas"
74,"3693004","Fibrinogen Dusart"
75,"3793006","Soluble barium compound"
76,"3823007","Prochlorperazine edisylate"
77,"3829006","Fe - Iron"
78,"3874004","Hydrocodone bitartrate"
79,"3906002","Rectified birch tar oil"
80,"3932008","^64^Copper"
81,"3941003","Metronidazole hydrochloride"
82,"3945007","Tin isotope"
83,"3983008","N,-N-dimethyltryptamine"
84,"4014000","Sulfisomidine"
85,"4025009","Captodiame"
