id,code,display
1,"1-8","Acyclovir [Susceptibility]"
2,"10-9","Amdinocillin [Susceptibility] by Serum bactericidal titer"
3,"100-8","Cefoperazone [Susceptibility] by Minimum inhibitory concentration (MIC)"
4,"1000-9","DBG Ab [Presence] in Serum or Plasma from Blood product unit"
5,"10000-8","R wave duration in lead AVR"
6,"10001-6","R wave duration in lead I"
7,"10002-4","R wave duration in lead II"
8,"10003-2","R wave duration in lead III"
9,"10004-0","R wave duration in lead V1"
10,"10005-7","R wave duration in lead V2"
11,"10006-5","R wave duration in lead V3"
12,"10007-3","R wave duration in lead V4"
13,"10008-1","R wave duration in lead V5"
14,"10009-9","R wave duration in lead V6"
15,"1001-7","DBG Ab [Presence] in Serum or Plasma from Donor"
16,"10010-7","R' wave amplitude in lead AVF"
17,"10011-5","R' wave amplitude in lead AVL"
18,"10012-3","R' wave amplitude in lead AVR"
19,"10013-1","R' wave amplitude in lead I"
20,"10014-9","R' wave amplitude in lead II"
21,"10015-6","R' wave amplitude in lead III"
22,"10016-4","R' wave amplitude in lead V1"
23,"10017-2","R' wave amplitude in lead V2"
24,"10018-0","R' wave amplitude in lead V3"
25,"10019-8","R' wave amplitude in lead V4"
26,"1002-5","DBG Ab [Presence] in Serum or Plasma"
27,"10020-6","R' wave amplitude in lead V5"
28,"10021-4","R' wave amplitude in lead V6"
29,"10022-2","R' wave duration in lead AVF"
30,"10023-0","R' wave duration in lead AVL"
31,"10024-8","R' wave duration in lead AVR"
32,"10025-5","R' wave duration in lead I"
33,"10026-3","R' wave duration in lead II"
34,"10027-1","R' wave duration in lead III"
35,"10028-9","R' wave duration in lead V1"
36,"10029-7","R' wave duration in lead V2"
37,"1003-3","Indirect antiglobulin test.complement specific reagent [Presence] in Serum or Plasma"
38,"10030-5","R' wave duration in lead V3"
39,"10031-3","R' wave duration in lead V4"
40,"10032-1","R' wave duration in lead V5"
41,"10033-9","R' wave duration in lead V6"
42,"10034-7","S wave amplitude in lead AVF"
43,"10035-4","S wave amplitude in lead AVL"
44,"10036-2","S wave amplitude in lead AVR"
45,"10037-0","S wave amplitude in lead I"
46,"10038-8","S wave amplitude in lead II"
47,"10039-6","S wave amplitude in lead III"
48,"1004-1","Direct antiglobulin test.complement specific reagent [Presence] on Red Blood Cells"
49,"10040-4","S wave amplitude in lead V1"
50,"10041-2","S wave amplitude in lead V2"
51,"10042-0","S wave amplitude in lead V3"
52,"10043-8","S wave amplitude in lead V4"
53,"10044-6","S wave amplitude in lead V5"
54,"10045-3","S wave amplitude in lead V6"
55,"10046-1","S wave duration in lead AVF"
56,"10047-9","S wave duration in lead AVL"
57,"10048-7","S wave duration in lead AVR"
58,"10049-5","S wave duration in lead I"
59,"1005-8","Indirect antiglobulin test.IgG specific reagent [Presence] in Serum or Plasma"
60,"10050-3","S wave duration in lead II"
61,"10051-1","S wave duration in lead III"
62,"10052-9","S wave duration in lead V1"
63,"10053-7","S wave duration in lead V2"
64,"10054-5","S wave duration in lead V3"
65,"10055-2","S wave duration in lead V4"
66,"10056-0","S wave duration in lead V5"
67,"10057-8","S wave duration in lead V6"
68,"10058-6","S' wave amplitude in lead AVF"
69,"10059-4","S' wave amplitude in lead AVL"
70,"1006-6","Direct antiglobulin test.IgG specific reagent [Interpretation] on Red Blood Cells"
71,"10060-2","S' wave amplitude in lead AVR"
72,"10061-0","S' wave amplitude in lead I"
73,"10062-8","S' wave amplitude in lead II"
74,"10063-6","S' wave amplitude in lead III"
75,"10064-4","S' wave amplitude in lead V1"
76,"10065-1","S' wave amplitude in lead V2"
77,"10066-9","S' wave amplitude in lead V3"
78,"10067-7","S' wave amplitude in lead V4"
79,"10068-5","S' wave amplitude in lead V5"
80,"10069-3","S' wave amplitude in lead V6"
81,"1007-4","Direct antiglobulin test.poly specific reagent [Presence] on Red Blood Cells"
82,"10070-1","S' wave duration in lead AVF"
83,"10071-9","S' wave duration in lead AVL"
84,"10072-7","S' wave duration in lead AVR"
85,"10073-5","S' wave duration in lead I"
86,"10074-3","S' wave duration in lead II"
87,"10075-0","S' wave duration in lead III"
88,"10076-8","S' wave duration in lead V1"
89,"10077-6","S' wave duration in lead V2"
90,"10078-4","S' wave duration in lead V3"
91,"10079-2","S' wave duration in lead V4"
92,"1008-2","Indirect antiglobulin test.poly specific reagent [Presence] in Serum or Plasma"
93,"10080-0","S' wave duration in lead V5"
94,"10081-8","S' wave duration in lead V6"
95,"10082-6","ST initial amplitude 6 ms in lead AVF"
96,"10083-4","ST initial amplitude 6 ms in lead AVL"
97,"10084-2","ST initial amplitude 6 ms in lead AVR"
98,"10085-9","ST initial amplitude 6 ms in lead I"
99,"10086-7","ST initial amplitude 6 ms in lead II"
100,"10087-5","ST initial amplitude 6 ms in lead III"
101,"10088-3","ST initial amplitude 6 ms in lead V1"
102,"10089-1","ST initial amplitude 6 ms in lead V2"
103,"1009-0","Deprecated Direct antiglobulin test.poly specific reagent [Presence] on Red Blood Cells"
104,"10090-9","ST initial amplitude 6 ms in lead V3"
105,"10091-7","ST initial amplitude 6 ms in lead V4"
106,"10092-5","ST initial amplitude 6 ms in lead V5"
107,"10093-3","ST initial amplitude 6 ms in lead V6"
108,"10094-1","ST slope in lead AVF"
109,"10095-8","ST slope in lead AVL"
110,"10096-6","ST slope in lead AVR"
111,"10097-4","ST slope in lead I"
112,"10098-2","ST slope in lead II"
113,"10099-0","ST slope in lead III"
114,"101-6","Cefoperazone [Susceptibility] by Disk diffusion (KB)"
115,"1010-8","E sup(w) Ab [Presence] in Serum or Plasma from Blood product unit"
116,"10100-6","ST slope in lead V1"
117,"10101-4","ST slope in lead V2"
118,"10102-2","ST slope in lead V3"
119,"10103-0","ST slope in lead V4"
120,"10104-8","ST slope in lead V5"
121,"10105-5","ST slope in lead V6"
122,"10106-3","ST wave end displacement in lead AVF"
123,"10107-1","ST wave end displacement in lead AVL"
124,"10108-9","ST wave end displacement in lead AVR"
125,"10109-7","ST wave end displacement in lead I"
126,"1011-6","E sup(w) Ab [Presence] in Serum or Plasma from Donor"
127,"10110-5","ST wave end displacement in lead II"
128,"10111-3","ST wave end displacement in lead III"
129,"10112-1","ST wave end displacement in lead V1"
130,"10113-9","ST wave end displacement in lead V2"
131,"10114-7","ST wave end displacement in lead V3"
132,"10115-4","ST wave end displacement in lead V4"
133,"10116-2","ST wave end displacement in lead V5"
134,"10117-0","ST wave end displacement in lead V6"
135,"10118-8","ST wave mid displacement in lead AVF"
136,"10119-6","ST wave mid displacement in lead AVL"
137,"1012-4","E sup(w) Ab [Presence] in Serum or Plasma"
138,"10120-4","ST wave mid displacement in lead AVR"
139,"10121-2","ST wave mid displacement in lead I"
140,"10122-0","ST wave mid displacement in lead II"
141,"10123-8","ST wave mid displacement in lead III"
142,"10124-6","ST wave mid displacement in lead V1"
143,"10125-3","ST wave mid displacement in lead V2"
144,"10126-1","ST wave mid displacement in lead V3"
145,"10127-9","ST wave mid displacement in lead V4"
146,"10128-7","ST wave mid displacement in lead V5"
147,"10129-5","ST wave mid displacement in lead V6"
148,"1013-2","E sup(w) Ag [Presence] on Red Blood Cells from Blood product unit"
149,"10130-3","T' wave amplitude in lead AVF"
150,"10131-1","T' wave amplitude in lead AVL"
151,"10132-9","T' wave amplitude in lead AVR"
152,"10133-7","T' wave amplitude in lead I"
153,"10134-5","T' wave amplitude in lead II"
154,"10135-2","T' wave amplitude in lead III"
155,"10136-0","T' wave amplitude in lead V1"
156,"10137-8","T' wave amplitude in lead V2"
157,"10138-6","T' wave amplitude in lead V3"
158,"10139-4","T' wave amplitude in lead V4"
159,"1014-0","E sup(w) Ag [Presence] on Red Blood Cells from Donor"
160,"10140-2","T' wave amplitude in lead V5"
161,"10141-0","T' wave amplitude in lead V6"
162,"10142-8","T wave amplitude in lead AVF"
163,"10143-6","T wave amplitude in lead AVL"
164,"10144-4","T wave amplitude in lead AVR"
165,"10145-1","T wave amplitude in lead I"
166,"10146-9","T wave amplitude in lead II"
167,"10147-7","T wave amplitude in lead III"
168,"10148-5","T wave amplitude in lead V1"
169,"10149-3","T wave amplitude in lead V2"
170,"1015-7","E sup(w) Ag [Presence] on Red Blood Cells"
171,"10150-1","T wave amplitude in lead V3"
172,"10151-9","T wave amplitude in lead V4"
173,"10152-7","T wave amplitude in lead V5"
174,"10153-5","T wave amplitude in lead V6"
175,"10154-3","Chief complaint Narrative - Reported"
176,"10155-0","History of allergies, reported"
177,"10156-8","History of Childhood diseases Narrative"
178,"10157-6","History of family member diseases Narrative"
179,"10158-4","History of Functional status Narrative"
180,"10159-2","History of Industrial exposure Narrative"
181,"1016-5","E Ab [Presence] in Serum or Plasma from Blood product unit"
182,"10160-0","History of Medication use Narrative"
183,"10161-8","History of Occupational exposure Narrative"
184,"10162-6","History of pregnancies Narrative"
185,"10163-4","History of pregnancies"
186,"10164-2","History of Present illness Narrative"
187,"10165-9","Deprecated History of psychiatric symptoms and diseases Narrative"
188,"10166-7","History of Social function Narrative"
189,"10167-5","History of Surgical procedures Narrative"
190,"10168-3","History of Cardiovascular system disorders Narrative"
191,"10169-1","History of Ear disorders Narrative"
192,"1017-3","E Ab [Presence] in Serum or Plasma from Donor"
193,"10170-9","History of Endocrine system disorders Narrative"
194,"10171-7","History of Eyes disorders Narrative"
195,"10172-5","History of Hematologic system disorders Narrative"
196,"10173-3","History of Musculoskeletal system disorders Narrative"
197,"10174-1","History of Nose disorders Narrative"
198,"10175-8","History of Oral cavity disorders Narrative"
199,"10176-6","History of Reproductive system disorders Narrative"
200,"10177-4","History of Respiratory system disorders Narrative"
201,"10178-2","History of Skin disorders Narrative"
202,"10179-0","History of Throat and Neck disorders Narrative"
203,"1018-1","E Ab [Presence] in Serum or Plasma"
204,"10180-8","History of Throat and Neck disorders"
205,"10181-6","History of Urinary tract disorders Narrative"
206,"10182-4","History of Travel Narrative"
207,"10183-2","Hospital discharge medications Narrative"
208,"10184-0","Hospital discharge physical findings Narrative"
209,"10185-7","Hospital discharge procedures Narrative"
210,"10186-5","Identifying information Narrative Observed"
211,"10187-3","Review of systems Narrative - Reported"
212,"10188-1","Review of systems overview Narrative - Reported"
213,"10189-9","Review of systems overview - Reported"
214,"1019-9","E Ag [Presence] on Red Blood Cells from Blood product unit"
215,"10190-7","Mental status Narrative"
216,"10191-5","Physical findings of Abdomen Narrative"
217,"10192-3","Physical findings of Back Narrative"
218,"10193-1","Physical findings of Breasts Narrative"
219,"10194-9","Physical findings of Neurologic deep tendon reflexes Narrative"
220,"10195-6","Physical findings of Ear Narrative"
221,"10196-4","Physical findings of Extremities Narrative"
222,"10197-2","Physical findings of Eye Narrative"
223,"10198-0","Physical findings of Genitourinary tract Narrative"
224,"10199-8","Physical findings of Head Narrative"
225,"102-4","Cefoperazone [Susceptibility] by Serum bactericidal titer"
226,"1020-7","E Ag [Presence] on Red Blood Cells from Donor"
227,"10200-4","Physical findings of Heart Narrative"
228,"10201-2","Physical findings of Mouth and Throat and Teeth Narrative"
229,"10202-0","Physical findings of Nervous system Narrative"
230,"10203-8","Physical findings of Nose Narrative"
231,"10204-6","Physical findings of Pelvis Narrative"
232,"10205-3","Physical findings of Rectum Narrative"
233,"10206-1","Physical findings of Skin Narrative"
234,"10207-9","Physical findings of Thorax and Lungs Narrative"
235,"10208-7","Physical findings of Vessels Narrative"
236,"10209-5","Physical findings of Neurologic balance and Coordination Narrative"
237,"1021-5","E Ag [Presence] on Red Blood Cells"
238,"10210-3","Physical findings of General status Narrative"
239,"10211-1","Physical findings of Sense of touch Narrative"
240,"10212-9","Physical findings of Strength Narrative"
241,"10213-7","Surgical operation note anesthesia Narrative"
242,"10214-5","Surgical operation note anesthesia duration"
243,"10215-2","Surgical operation note findings Narrative"
244,"10216-0","Surgical operation note fluids Narrative"
245,"10217-8","Surgical operation note indications [Interpretation] Narrative"
246,"10218-6","Surgical operation note postoperative diagnosis Narrative"
247,"10219-4","Surgical operation note preoperative diagnosis Narrative"
248,"1022-3","Fy sup(a) Ab [Presence] in Serum or Plasma from Blood product unit"
249,"10220-2","Surgical operation note prep time duration"
250,"10221-0","Surgical operation note specimens taken Narrative"
251,"10222-8","Surgical operation note surgical complications [Interpretation] Narrative"
252,"10223-6","Surgical operation note surgical procedure Narrative"
253,"10224-4","Hemodynamic method special circumstances"
254,"10225-1","Cardiac measurement device Institution inventory number"
255,"10226-9","Oxygen content in Intravascular space"
256,"10227-7","Cardiac measurement device Vendor model number"
257,"10228-5","Cardiac measurement device Vendor serial number"
258,"10229-3","Hemodynamic method Type of"
259,"1023-1","Fy sup(a) Ab [Presence] in Serum or Plasma from Donor"
260,"10230-1","Left ventricular Ejection fraction"
261,"10231-9","Right ventricular Ejection fraction"
262,"10232-7","Oxygen content in Aorta root"
263,"10233-5","Oxygen content in Left atrium"
264,"10234-3","Oxygen content in Right atrium"
265,"10235-0","Oxygen content in High right atrium"
266,"10236-8","Oxygen content in Low right atrium"
267,"10237-6","Oxygen content in Mid right atrium"
268,"10238-4","Oxygen content in Left ventricle"
269,"10239-2","Oxygen content in Right ventricular outflow tract"
270,"1024-9","Fy sup(a) Ab [Presence] in Serum or Plasma"
