id,code,display
1,"58207001","Competitive protein binding assay technique"
2,"115341008","Total measurement"
3,"246363001","Acquisition technique"
4,"246502009","Bladder filling technique"
5,"246503004","Catheter movement technique"
6,"246504005","Near reading technique"
7,"246505006","Photon detection technique"
8,"246506007","Provocation technique"
9,"246507003","Stimulation technique"
10,"255459008","Flash"
11,"255463001","Single tetany technique"
12,"255583002","Retruded jaw relation technique"
13,"256233002","Rectally infused saline solution"
14,"257414001","Adult N types"
15,"257425005","Bright field microscopy technique"
16,"257428007","Dent sleeve technique"
17,"257452000","Sbisa bar"
18,"257456002","Solid sphere technique"
19,"257460004","Swept spatial frequency bars"
20,"257465009","Wax wafer technique"
21,"257740006","V-Y advancement technique"
22,"257771002","Cementing"
23,"257772009","Cementing with normal viscosity cement"
24,"257774005","Cementing with low viscosity cement"
25,"257775006","Cementing with normal viscosity cement containing antibiotic"
26,"257776007","Cementing with low viscosity cement containing antibiotic"
27,"257827009","Press-fit component fixation"
28,"257932009","Direct suturing technique"
29,"258005004","Accelerometry technique"
30,"258006003","Acidometric method"
31,"258009005","Boyden chamber technique"
32,"258010000","Catheter tip manometry technique"
33,"258011001","Chessboard method"
34,"258012008","Confocal laser scanning fluorescence technique"
35,"258013003","Conventional manometry technique"
36,"258014009","Dilution and colorimetry technique"
37,"258017002","Double sampling dye-dilution test"
38,"258018007","Drainage bottle measurement"
39,"258019004","Drainage measurement"
40,"258020005","Dye dilution technique"
41,"258021009","Dye test"
42,"258022002","E test"
43,"258025000","Enzyme mediated immunotransferase assay technique"
44,"258026004","Enzyme method"
45,"258027008","Equilibration method"
46,"258030001","Gradient method"
47,"258031002","Helium single breath technique"
48,"258033004","Helium steady state technique"
49,"258034005","Helium dilution"
50,"258035006","High pressure liquid chromatography"
51,"258036007","Immunoblotting"
52,"258037003","Immunoradiometry"
53,"258038008","Indicator dilution technique"
54,"258039000","Iodometric method"
55,"258041004","Isoenzyme typing"
56,"258044007","Lectin typing"
57,"258045008","Lipopolysaccharide typing"
58,"258047000","Metabolic inhibition test"
59,"258048005","Microbiological method"
60,"258053000","Moorfields reading book test"
61,"258054006","Natural filling"
62,"258055007","Nitrocefin method"
63,"258056008","Nitrogen washout"
64,"258059001","Pharmacological stimulation"
65,"258060006","Phenotyping"
66,"258063008","Pneumatic otoscopy"
67,"258065001","Polyethylene glycol precipitation"
68,"258066000","Polymerase chain reaction"
69,"258067009","Post-tetanic count stimulation"
70,"258068004","Protein profiling"
71,"258069007","Pyrolysis mass spectrometry"
72,"258070008","Rapid-pull through"
73,"258071007","Rebreathing method"
74,"258075003","Serotyping"
75,"258076002","Sham feed technique"
76,"258077006","Sheridan Gardiner technique"
77,"258078001","Station pull-through"
78,"258080007","Thermodilution technique"
79,"258081006","Ultraviolet absorption"
80,"258082004","Vector volume analysis"
81,"258083009","Visual estimation"
82,"258084003","Weighing of swabs"
83,"258086001","Zymodeme typing"
84,"258087005","Agar dilution"
85,"258094008","Dark ground microscopy technique"
86,"258099003","Fluorescence microscopy technique"
87,"258100006","Heterophoria method"
88,"258102003","Intermittent withdrawal technique"
89,"258109007","Restriction fragment length polymorphism technique"
90,"258110002","Saline method"
91,"258112005","Sequence specific oligonucleotide probe"
92,"258113000","Sequence specific primers-polymerase chain reaction"
93,"258114006","SRH - Single radial hemolysis"
94,"258118009","Suction drainage measurement"
95,"258119001","Thermal test"
96,"258120007","Vapor pressure depression"
97,"258121006","Ungated equilibrium"
98,"258122004","Whole cell long chain fatty acid methyl ester analysis"
99,"258123009","Electrocardiogram gated technique"
100,"258124003","Gated equilibrium"
101,"258125002","Freezing point depression"
102,"258126001","Phase contrast microscopy technique"
103,"258128000","Sjögren hand technique"
104,"258129008","Snellen technique"
105,"258131004","Sucrose density gradient separation"
106,"258133001","Plate assay technique"
107,"258144009","Position change"
108,"258150004","Transmission"
109,"258159003","Slime production typing"
110,"258164004","Seldinger technique"
111,"258169009","Remodeled pouch method"
112,"258171009","Blind technique"
113,"258173007","Direct vision technique"
114,"258178003","Blood aspiration technique"
115,"258179006","Blood flashback technique"
116,"258180009","Pressure waveform analysis"
117,"258181008","Electrocardiogram analysis"
118,"258182001","Cold light transillumination"
119,"258183006","Gas injection and auscultation"
120,"260223001","Maximum intercuspation technique"
121,"260227000","Solid phase immune technique"
122,"260231006","Van Slyke technique"
123,"260710009","Obturation technique"
124,"260931002","Post-processing"
125,"260982004","Anticurvature technique"
126,"261006005","Digital X-ray"
127,"261009003","Dual cure method"
128,"261018001","Mechanical"
129,"261032004","Turnover"
130,"261033009","Ultrasonic endodontic technique"
131,"261039008","Valsalva maneuver"
132,"261069001","Double contrast technique"
133,"261070000","Double flare technique"
134,"261190007","Dautrey method"
135,"261192004","Balanced force technique"
136,"261194003","Cine study"
137,"261196001","Direct application technique"
138,"261208004","Intermittent administration"
139,"261209007","Nipple sharing technique"
140,"261212005","Percutaneous with automated instrumentation"
141,"261213000","Percutaneous with endoscopic instrumentation"
142,"261214006","Percutaneous with laser instrumentation"
143,"261215007","Percutaneous with manual instrumentation"
144,"261216008","Radionuclide plethysmography"
145,"261271009","Thermal plastic technique"
146,"261272002","Thermal solid technique"
147,"261338007","Adhesive with supplementary suture technique"
148,"261373009","Implant technique"
149,"261504003","Close rectal dissection technique"
150,"261510003","Conventional angiography"
151,"261548008","Periarticular osteotomy"
152,"261561008","Shelf technique"
153,"261567007","Thermal injection technique"
154,"261573008","Thyrotrophin releasing hormone stimulation"
155,"261671000","Air contrast technique"
