id,code,display
1,"American Indian or Alaska Native","American Indian or Alaska Native"
2,"American Indian","American Indian"
3,"Abenaki","Abenaki"
4,"Algonquian","Algonquian"
5,"Apache","Apache"
6,"Chiricahua","Chiricahua"
7,"Fort Sill Apache","Fort Sill Apache"
8,"Jicarilla Apache","Jicarilla Apache"
9,"Lipan Apache","Lipan Apache"
10,"Mescalero Apache","Mescalero Apache"
11,"Oklahoma Apache","Oklahoma Apache"
12,"Payson Apache","Payson Apache"
13,"San Carlos Apache","San Carlos Apache"
14,"White Mountain Apache","White Mountain Apache"
15,"Arapaho","Arapaho"
16,"Northern Arapaho","Northern Arapaho"
17,"Southern Arapaho","Southern Arapaho"
18,"Wind River Arapaho","Wind River Arapaho"
19,"Arikara","Arikara"
20,"Assiniboine","Assiniboine"
21,"Assiniboine Sioux","Assiniboine Sioux"
22,"Fort Peck Assiniboine Sioux","Fort Peck Assiniboine Sioux"
23,"Bannock","Bannock"
24,"Blackfeet","Blackfeet"
25,"Brotherton","Brotherton"
26,"Burt Lake Band","Burt Lake Band"
27,"Caddo","Caddo"
28,"Oklahoma Cado","Oklahoma Cado"
29,"Cahuilla","Cahuilla"
30,"Agua Caliente Cahuilla","Agua Caliente Cahuilla"
31,"Augustine","Augustine"
32,"Cabazon","Cabazon"
33,"Los Coyotes","Los Coyotes"
34,"Morongo","Morongo"
35,"Santa Rosa Cahuilla","Santa Rosa Cahuilla"
36,"Torres-Martinez","Torres-Martinez"
37,"California Tribes","California Tribes"
38,"Cahto","Cahto"
39,"Chimariko","Chimariko"
40,"Coast Miwok","Coast Miwok"
41,"Digger","Digger"
42,"Kawaiisu","Kawaiisu"
43,"Kern River","Kern River"
44,"Mattole","Mattole"
45,"Red Wood","Red Wood"
46,"Santa Rosa","Santa Rosa"
47,"Takelma","Takelma"
48,"Wappo","Wappo"
49,"Yana","Yana"
50,"Yuki","Yuki"
51,"Canadian and Latin American Indian","Canadian and Latin American Indian"
52,"Canadian Indian","Canadian Indian"
53,"Central American Indian","Central American Indian"
54,"French American Indian","French American Indian"
55,"Mexican American Indian","Mexican American Indian"
56,"South American Indian","South American Indian"
57,"Spanish American Indian","Spanish American Indian"
58,"Catawba","Catawba"
59,"Alatna","Alatna"
60,"Alexander","Alexander"
61,"Allakaket","Allakaket"
62,"Alanvik","Alanvik"
63,"Anvik","Anvik"
64,"Arctic","Arctic"
65,"Beaver","Beaver"
66,"Birch Creek","Birch Creek"
67,"Cantwell","Cantwell"
68,"Chalkyitsik","Chalkyitsik"
69,"Chickaloon","Chickaloon"
70,"Chistochina","Chistochina"
71,"Chitina","Chitina"
72,"Circle","Circle"
73,"Cook Inlet","Cook Inlet"
74,"Copper Center","Copper Center"
75,"Copper River","Copper River"
76,"Dot Lake","Dot Lake"
77,"Doyon","Doyon"
78,"Eagle","Eagle"
79,"Eklutna","Eklutna"
80,"Evansville","Evansville"
81,"Fort Yukon","Fort Yukon"
82,"Gakona","Gakona"
83,"Galena","Galena"
84,"Grayling","Grayling"
85,"Gulkana","Gulkana"
86,"Healy Lake","Healy Lake"
87,"Holy Cross","Holy Cross"
88,"Hughes","Hughes"
89,"Huslia","Huslia"
90,"Iliamna","Iliamna"
91,"Kaltag","Kaltag"
92,"Kluti Kaah","Kluti Kaah"
93,"Knik","Knik"
94,"Koyukuk","Koyukuk"
95,"Lake Minchumina","Lake Minchumina"
96,"Lime","Lime"
97,"Mcgrath","Mcgrath"
98,"Manley Hot Springs","Manley Hot Springs"
99,"Mentasta Lake","Mentasta Lake"
100,"Minto","Minto"
101,"Nenana","Nenana"
102,"Nikolai","Nikolai"
103,"Ninilchik","Ninilchik"
104,"Nondalton","Nondalton"
105,"Northway","Northway"
106,"Nulato","Nulato"
107,"Pedro Bay","Pedro Bay"
108,"Rampart","Rampart"
109,"Ruby","Ruby"
110,"Salamatof","Salamatof"
111,"Seldovia","Seldovia"
112,"Slana","Slana"
113,"Shageluk","Shageluk"
114,"Stevens","Stevens"
115,"Stony River","Stony River"
116,"Takotna","Takotna"
117,"Tanacross","Tanacross"
118,"Tanaina","Tanaina"
119,"Tanana","Tanana"
120,"Tanana Chiefs","Tanana Chiefs"
121,"Tazlina","Tazlina"
122,"Telida","Telida"
123,"Tetlin","Tetlin"
124,"Tok","Tok"
125,"Tyonek","Tyonek"
126,"Venetie","Venetie"
127,"Wiseman","Wiseman"
128,"Cayuse","Cayuse"
129,"Chehalis","Chehalis"
130,"Chemakuan","Chemakuan"
131,"Hoh","Hoh"
132,"Quileute","Quileute"
133,"Chemehuevi","Chemehuevi"
134,"Cherokee","Cherokee"
135,"Cherokee Alabama","Cherokee Alabama"
136,"Cherokees of Northeast Alabama","Cherokees of Northeast Alabama"
137,"Cherokees of Southeast Alabama","Cherokees of Southeast Alabama"
138,"Eastern Cherokee","Eastern Cherokee"
139,"Echota Cherokee","Echota Cherokee"
140,"Etowah Cherokee","Etowah Cherokee"
141,"Northern Cherokee","Northern Cherokee"
142,"Tuscola","Tuscola"
143,"United Keetowah Band of Cherokee","United Keetowah Band of Cherokee"
144,"Western Cherokee","Western Cherokee"
145,"Cherokee Shawnee","Cherokee Shawnee"
146,"Cheyenne","Cheyenne"
147,"Northern Cheyenne","Northern Cheyenne"
148,"Southern Cheyenne","Southern Cheyenne"
149,"Cheyenne-Arapaho","Cheyenne-Arapaho"
150,"Chickahominy","Chickahominy"
151,"Eastern Chickahominy","Eastern Chickahominy"
152,"Western Chickahominy","Western Chickahominy"
153,"Chickasaw","Chickasaw"
154,"Chinook","Chinook"
155,"Clatsop","Clatsop"
156,"Columbia River Chinook","Columbia River Chinook"
157,"Kathlamet","Kathlamet"
158,"Upper Chinook","Upper Chinook"
159,"Wakiakum Chinook","Wakiakum Chinook"
160,"Willapa Chinook","Willapa Chinook"
161,"Wishram","Wishram"
162,"Chippewa","Chippewa"
163,"Bad River","Bad River"
164,"Bay Mills Chippewa","Bay Mills Chippewa"
165,"Bois Forte","Bois Forte"
166,"Burt Lake Chippewa","Burt Lake Chippewa"
167,"Fond du Lac","Fond du Lac"
168,"Grand Portage","Grand Portage"
169,"Grand Traverse Band of Ottawa-Chippewa","Grand Traverse Band of Ottawa-Chippewa"
170,"Keweenaw","Keweenaw"
171,"Lac Courte Oreilles","Lac Courte Oreilles"
172,"Lac du Flambeau","Lac du Flambeau"
173,"Lac Vieux Desert Chippewa","Lac Vieux Desert Chippewa"
174,"Lake Superior","Lake Superior"
175,"Leech Lake","Leech Lake"
176,"Little Shell Chippewa","Little Shell Chippewa"
177,"Mille Lacs","Mille Lacs"
178,"Minnesota Chippewa","Minnesota Chippewa"
179,"Ontonagon","Ontonagon"
180,"Red Cliff Chippewa","Red Cliff Chippewa"
181,"Red Lake Chippewa","Red Lake Chippewa"
182,"Saginaw Chippewa","Saginaw Chippewa"
183,"St. Croix Chippewa","St. Croix Chippewa"
184,"Sault Ste. Marie Chippewa","Sault Ste. Marie Chippewa"
185,"Sokoagon Chippewa","Sokoagon Chippewa"
186,"Turtle Mountain","Turtle Mountain"
187,"White Earth","White Earth"
188,"Chippewa Cree","Chippewa Cree"
189,"Rocky Boy's Chippewa Cree","Rocky Boy's Chippewa Cree"
190,"Chitimacha","Chitimacha"
191,"Choctaw","Choctaw"
192,"Clifton Choctaw","Clifton Choctaw"
193,"Jena Choctaw","Jena Choctaw"
194,"Mississippi Choctaw","Mississippi Choctaw"
195,"Mowa Band of Choctaw","Mowa Band of Choctaw"
196,"Oklahoma Choctaw","Oklahoma Choctaw"
197,"Chumash","Chumash"
198,"Santa Ynez","Santa Ynez"
199,"Clear Lake","Clear Lake"
200,"Coeur D'Alene","Coeur D'Alene"
201,"Coharie","Coharie"
202,"Colorado River","Colorado River"
203,"Colville","Colville"
204,"Comanche","Comanche"
205,"Oklahoma Comanche","Oklahoma Comanche"
206,"Coos, Lower Umpqua, Siuslaw","Coos, Lower Umpqua, Siuslaw"
207,"Coos","Coos"
208,"Coquilles","Coquilles"
209,"Costanoan","Costanoan"
210,"Coushatta","Coushatta"
211,"Alabama Coushatta","Alabama Coushatta"
212,"Cowlitz","Cowlitz"
213,"Cree","Cree"
