id,code,display
1,"129265001","Patient evaluation - action"
2,"129266000","Measurement - action"
3,"129267009","Administrative action"
4,"129268004","Observation - action"
5,"129269007","Assisting - action"
6,"129271007","Management - action"
7,"129272000","Stimulation - action"
8,"129273005","Admission - action"
9,"129274004","Discharge - action"
10,"129275003","Administrative transfer - action"
11,"129276002","Referral - action"
12,"129277006","Administrative disposition - action"
13,"129278001","Audit - action"
14,"129279009","Medicolegal action"
15,"129280007","Medicolegal testimony - action"
16,"129283009","Training - action"
17,"129284003","Surgical action values"
18,"129286001","Microsurgery - action"
19,"129287005","Incision - action"
20,"129288000","Exploratory incision - action"
21,"129289008","Drainage - action"
22,"129291000","Drilling - action"
23,"129292007","Evacuation - action"
24,"129293002","Dissection - action"
25,"129294008","Discission - action"
26,"129295009","Slitting - action"
27,"129296005","Bisection - action"
28,"129297001","Bifurcation - action"
29,"129298006","Surgical division"
30,"129299003","Release - action"
31,"129300006","Puncture - action"
32,"129301005","Scarification - action"
33,"129303008","Removal - action"
34,"129304002","Excision - action"
35,"129305001","Wedge excision - action"
36,"129306000","Surgical removal - action"
37,"129307009","Expulsion - action"
38,"129308004","Reexcision - action"
39,"129309007","Amputation - action"
40,"129310002","Transfixion - action"
41,"129311003","Evisceration - action"
42,"129312005","Enucleation - action"
43,"129313000","Trephine - action"
44,"129314006","BX - Biopsy"
45,"129315007","Incision biopsy"
46,"129316008","Aspiration - action"
47,"129317004","Debridement - action"
48,"129318009","Saucerization - action"
49,"129319001","Curettage - action"
50,"129321006","Trimming - action"
51,"129322004","Shaving - action"
52,"129323009","Scraping - action"
53,"129324003","Filleting - action"
54,"129325002","Introduction - action"
55,"129326001","Injection"
56,"129327005","Tattooing - action"
57,"129328000","Inflation - action"
58,"129330003","Infusion - action"
59,"129331004","Perfusion - action"
60,"129332006","Irrigation - action"
61,"129333001","Insufflation - action"
62,"129334007","Instillation - action"
63,"129335008","Embolization - action"
64,"129337000","Replantation"
65,"129339002","Intubation - action"
66,"129340000","Sounding - action"
67,"129344009","Surgical recession - action"
68,"129345005","Resection-recession - action"
69,"129346006","Radial incision - action"
70,"129347002","Transfer - action"
71,"129348007","Z-plasty - action"
72,"129349004","Lengthening procedure"
73,"129350004","Shortening"
74,"129351000","Augmentation"
75,"129352007","Advancement"
76,"129353002","Suspension and fixation - action"
77,"129354008","Exteriorization - action"
78,"129355009","Marsupialization - action"
79,"129356005","Reinforcement - action"
80,"129357001","Closure - action"
81,"129358006","Layered closure - action"
82,"129360008","Oversewing - action"
83,"129366002","Closure by buckling - action"
84,"129368001","Cerclage - action"
85,"129369009","Ligation - action"
86,"129371009","Fixation - action"
87,"129372002","Cryopexy - action"
88,"129373007","Plication - action"
89,"129374001","Imbrication - action"
90,"129376004","Creation"
91,"129377008","Reconstruction - action"
