id,code,display
1,"1421009","Specialized surgeon"
2,"3430008","Radiation therapist"
3,"3842006","Chiropractor"
4,"4162009","Dental assistant"
5,"5275007","NA - Nursing auxiliary"
6,"6816002","Specialized nurse"
7,"6868009","Hospital administrator"
8,"8724009","Plastic surgeon"
9,"11661002","Neuropathologist"
10,"11911009","Nephrologist"
11,"11935004","Obstetrician"
12,"13580004","School dental assistant"
13,"14698002","Medical microbiologist"
14,"17561000","Cardiologist"
15,"18803008","Dermatologist"
16,"18850004","Laboratory hematologist"
17,"19244007","Gerodontist"
18,"20145008","Removable prosthodontist"
19,"21365001","Specialized dentist"
20,"21450003","Neuropsychiatrist"
21,"22515006","Medical assistant"
22,"22731001","Orthopedic surgeon"
23,"22983004","Thoracic surgeon"
24,"23278007","Community health physician"
25,"24430003","Physical medicine specialist"
26,"24590004","Urologist"
27,"25961008","Electroencephalography specialist"
28,"26042002","Dental hygienist"
29,"26369006","Public health nurse"
30,"28229004","Optometrist"
31,"28411006","Neonatologist"
32,"28544002","Chemical pathologist"
33,"36682004","PT - Physiotherapist"
34,"37154003","Periodontist"
35,"37504001","Orthodontist"
36,"39677007","Internal medicine specialist"
37,"40127002","Dietitian (general)"
38,"40204001","Hematologist"
39,"40570005","Interpreter"
40,"41672002","Respiratory physician"
41,"41904004","Medical X-ray technician"
42,"43702002","Occupational health nurse"
43,"44652006","Pharmaceutical assistant"
44,"45419001","Masseur"
45,"45440000","Rheumatologist"
46,"45544007","Neurosurgeon"
47,"45956004","Sanitarian"
48,"46255001","Pharmacist"
49,"48740002","Philologist"
50,"49203003","Dispensing optometrist"
51,"49993003","Maxillofacial surgeon"
52,"50149000","Endodontist"
53,"54503009","Faith healer"
54,"56397003","Neurologist"
55,"56466003","Community physician"
56,"56542007","Medical record administrator"
57,"56545009","Cardiovascular surgeon"
58,"57654006","Fixed prosthodontist"
59,"59058001","General physician"
60,"59169001","Orthopedic technician"
61,"59944000","Psychologist"
62,"60008001","Community-based dietitian"
63,"61207006","Medical pathologist"
64,"61246008","Laboratory medicine specialist"
65,"61345009","Otorhinolaryngologist"
66,"61894003","Endocrinologist"
67,"62247001","Family medicine specialist"
68,"63098009","Clinical immunologist"
69,"66476003","Oral pathologist"
70,"66862007","Radiologist"
71,"68867008","Public health dentist"
72,"68950000","Prosthodontist"
73,"69280009","Specialized physician"
74,"71838004","Gastroenterologist"
75,"73265009","Nursing aid"
76,"75271001","MW - Midwife"
77,"76166008","Practical aid (pharmacy)"
78,"76231001","Osteopath"
79,"76899008","Infectious diseases physician"
80,"78703002","General surgeon"
81,"78729002","Diagnostic radiologist"
82,"79898004","Auxiliary midwife"
83,"80409005","Translator"
84,"80546007","OT - Occupational therapist"
85,"80584001","Psychiatrist"
86,"80933006","Nuclear medicine physician"
87,"81464008","Clinical pathologist"
88,"82296001","Pediatrician"
89,"83189004","Other professional nurse"
90,"83273008","Anatomic pathologist"
91,"83685006","Gynecologist"
92,"85733003","General pathologist"
93,"88189002","Anesthesiologist"
94,"88475002","Other dietitians and public health nutritionists"
95,"90201008","Pediatric dentist"
96,"90655003","Care of the elderly physician"
97,"106289002","Dental surgeon"
98,"106291005","Dietician AND/OR public health nutritionist"
99,"106292003","Nurse"
100,"106293008","Nursing personnel"
101,"106294002","Midwifery personnel"
102,"106296000","Physiotherapist AND/OR occupational therapist"
103,"106330007","Philologist, translator AND/OR interpreter"
104,"112247003","Medical doctor"
105,"158965000","Medical practitioner"
106,"158966004","Medical administrator - national"
107,"158967008","Consultant physician"
108,"158968003","Consultant surgeon"
109,"158969006","Consultant gynecology and obstetrics"
110,"158970007","Anesthetist"
111,"158971006","Hospital registrar"
112,"158972004","House officer"
113,"158973009","Occupational physician"
114,"158974003","Clinical medical officer"
115,"158975002","Medical practitioner - teaching"
116,"158977005","Dental administrator"
117,"158978000","Dental consultant"
118,"158979008","Dental general practitioner"
119,"158980006","Dental practitioner - teaching"
120,"158983008","Nurse administrator - national"
121,"158984002","Nursing officer - region"
122,"158985001","Nursing officer - district"
123,"158986000","Nursing administrator - professional body"
124,"158987009","Nursing officer - division"
125,"158988004","Nurse education director"
126,"158989007","Occupational health nursing officer"
127,"158990003","Nursing officer"
128,"158992006","Midwifery sister"
129,"158993001","Nursing sister (theatre)"
130,"158994007","Staff nurse"
131,"158995008","Staff midwife"
132,"158996009","State enrolled nurse"
133,"158997000","District nurse"
134,"158998005","Private nurse"
135,"158999002","Community midwife"
136,"159001001","Clinic nurse"
137,"159002008","Practice nurse"
138,"159003003","School nurse"
139,"159004009","Nurse - teaching"
140,"159005005","Student nurse"
141,"159006006","Dental nurse"
142,"159007002","Community pediatric nurse"
143,"159010009","Hospital pharmacist"
144,"159011008","Retail pharmacist"
145,"159012001","Industrial pharmacist"
146,"159013006","Pharmaceutical officer H.A."
147,"159014000","Trainee pharmacist"
148,"159016003","Medical radiographer"
149,"159017007","Diagnostic radiographer"
150,"159018002","Therapeutic radiographer"
151,"159019005","Trainee radiographer"
152,"159021000","Ophthalmic optician"
153,"159022007","Trainee optician"
154,"159025009","Remedial gymnast"
155,"159026005","Speech and language therapist"
156,"159027001","Orthoptist"
157,"159028006","Trainee remedial therapist"
158,"159033005","Dietician"
159,"159034004","Podiatrist"
160,"159035003","Dental auxiliary"
161,"159036002","ECG technician"
162,"159037006","EEG technician"
163,"159038001","Artificial limb fitter"
164,"159039009","AT - Audiology technician"
165,"159040006","Pharmacy technician"
166,"159041005","Trainee medical technician"
167,"159141008","Geneticist"
168,"159972006","Surgical corset fitter"
169,"160008000","Dental technician"
170,"224529009","Clinical assistant"
171,"224530004","Senior registrar"
172,"224531000","Registrar"
173,"224532007","Senior house officer"
174,"224533002","MO - Medical officer"
175,"224534008","Health visitor, nurse/midwife"
176,"224535009","Registered nurse"
177,"224536005","Midwifery tutor"
178,"224537001","Accident and Emergency nurse"
179,"224538006","Triage nurse"
180,"224540001","Community nurse"
181,"224541002","Nursing continence advisor"
182,"224542009","Coronary care nurse"
183,"224543004","Diabetic nurse"
184,"224544005","Family planning nurse"
185,"224545006","Care of the elderly nurse"
186,"224546007","ICN - Infection control nurse"
187,"224547003","Intensive therapy nurse"
188,"224548008","Learning disabilities nurse"
189,"224549000","Neonatal nurse"
190,"224550000","Neurology nurse"
191,"224551001","Industrial nurse"
192,"224552008","Oncology nurse"
193,"224553003","Macmillan nurse"
194,"224554009","Marie Curie nurse"
195,"224555005","Pain control nurse"
196,"224556006","Palliative care nurse"
197,"224557002","Chemotherapy nurse"
198,"224558007","Radiotherapy nurse"
199,"224559004","PACU nurse"
200,"224560009","Stomatherapist"
201,"224561008","Theatre nurse"
202,"224562001","Pediatric nurse"
203,"224563006","Psychiatric nurse"
204,"224564000","Community mental health nurse"
205,"224565004","Renal nurse"
206,"224566003","Hemodialysis nurse"
207,"224567007","Wound care nurse"
208,"224569005","Nurse grade"
209,"224570006","Clinical nurse specialist"
210,"224571005","Nurse practitioner"
211,"224572003","Nursing sister"
212,"224573008","CN - Charge nurse"
213,"224574002","Ward manager"
214,"224575001","Nursing team leader"
215,"224576000","Nursing assistant"
216,"224577009","Healthcare assistant"
217,"224578004","Nursery nurse"
218,"224579007","Healthcare service manager"
219,"224580005","Occupational health service manager"
220,"224581009","Community nurse manager"
221,"224583007","Behavior therapist"
222,"224584001","Behavior therapy assistant"
223,"224585000","Drama therapist"
224,"224586004","Domiciliary occupational therapist"
225,"224587008","Occupational therapy helper"
226,"224588003","Psychotherapist"
227,"224589006","Community-based physiotherapist"
228,"224590002","Play therapist"
229,"224591003","Play specialist"
230,"224592005","Play leader"
231,"224593000","Community-based speech/language therapist"
232,"224594006","Speech/language assistant"
233,"224595007","Professional counselor"
234,"224596008","Marriage guidance counselor"
235,"224597004","Trained nurse counselor"
236,"224598009","Trained social worker counselor"
237,"224599001","Trained personnel counselor"
238,"224600003","Psychoanalyst"
239,"224601004","Assistant psychologist"
240,"224602006","Community-based podiatrist"
241,"224603001","Foot care worker"
242,"224604007","Audiometrician"
243,"224605008","Audiometrist"
244,"224606009","Technical healthcare occupation"
245,"224607000","Occupational therapy technical instructor"
246,"224608005","Administrative healthcare staff"
247,"224609002","Complementary health worker"
248,"224610007","Supporting services personnel"
249,"224614003","Research associate"
250,"224615002","Research nurse"
251,"224620002","Human aid to communication"
252,"224621003","Palantypist"
253,"224622005","Note taker"
254,"224623000","Cuer"
255,"224624006","Lipspeaker"
256,"224625007","Interpreter for British sign language"
