id,code,display
1,"135809002","Nitrate contraindicated"
2,"135811006","Diuretic contraindicated"
3,"135822005","Lipid lowering therapy contraindicated"
4,"135823000","Calcium channel blocker contraindicated"
5,"169551000","Contraception contraindicated"
6,"170954008","Hormone replacement therapy (HRT) contraindicated"
7,"171277005","Sensitivity C/I - immunization"
8,"171284002","Pertussis vaccine contraindicated"
9,"183934000","Sensitivity contraindication to procedure"
10,"183936003","Contraindication to live immunization"
11,"266757004","Medical contraindication to procedure"
12,"266758009","Immunization contraindicated"
13,"268560002","Medical C/I - immunization"
14,"275935009","Surgery contraindicated"
15,"275974002","Measles/mumps/rubella vaccine contraindicated"
16,"312451002","Aspirin prophylaxis contra-indicated"
17,"315061006","Warfarin contraindicated"
18,"315062004","Beta blocker contraindicated"
19,"315363002","Statins contraindicated"
20,"315364008","Angiotensin converting enzyme inhibitors contraindicated"
21,"315591006","Fibrates contraindicated"
22,"390795005","Pneumococcal vaccination contraindicated"
23,"390796006","Influenza vaccination contraindicated"
24,"390910005","Thrombolysis contraindicated"
25,"394987009","Angiotensin II receptor antagonists contraindicated"
26,"395174005","Nicotine replacement therapy contraindicated"
27,"395175006","Bupropion contraindicated"
28,"395675007","Oral contraceptive pill contraindicated"
29,"407582002","Clopidogrel contraindicated"
30,"413558003","Anticoagulation contraindicated"
31,"414055003","Drug dependence home detoxification contraindicated"
32,"414159007","Exercise tolerance test contraindicated"
33,"414677003","Metformin contraindicated"
34,"415571003","Spirometry reversibility testing contraindicated"
35,"415666001","Administration of sulfonylurea contraindicated"
36,"416091008","Glitazones contraindicated"
37,"416475003","Combined calcium and vitamin D3 preparation contraindicated"
38,"416704001","DXA scan contraindicated"
39,"416759002","Non-steroidal anti-inflammatory drugs contraindicated"
40,"416996000","Strontium ranelate contraindicated"
41,"417101006","Selective estrogen receptor modulator contraindicated"
42,"417128001","Bisphosphonates contraindicated"
43,"438767006","Termination of pregnancy contraindicated"
44,"438833006","Administration of drug or medicament contraindicated"
45,"698468005","Bisoprolol contraindicated"
46,"698521002","Simvastatin contraindicated"
47,"699037006","Hepatitis B vaccination contraindicated"
48,"703997000","Teriparatide contraindicated"
49,"703999002","Raloxifene contraindicated"
50,"707298000","Phosphodiesterase-5 inhibitor contraindicated"
51,"715163003","Diphtheria vaccination contraindicated"
52,"715166006","Bacillus Calmette-Guerin vaccination contraindicated"
53,"170624001","Oral steroids stopped"
54,"170688000","Lithium stopped"
55,"170689008","Injectable phenothiazine stopped"
56,"170919001","Warfarin therapy stopped"
57,"170958006","Hormonal replacement therapy (HRT) stopped"
58,"182840001","Drug treatment stopped - medical advice"
59,"182841002","Dr stopped drugs - ineffective"
60,"182842009","Doctor stopped drugs - side effect"
61,"182843004","Dr stopped drugs -inconvenient"
62,"182844005","Doctor stopped drugs - patient dislikes"
63,"182845006","Doctor stopped drugs - avoid interaction"
64,"182846007","Doctor stopped drugs - medical aim achieved"
65,"274512008","Drug therapy discontinued"
66,"309841001","Thyroxine treatment stopped"
67,"394909009","Syringe driver discontinued"
68,"395006008","Medication stopped - interaction"
69,"395007004","Medication stopped - ineffective"
70,"395008009","Medication stopped - contra-indication"
71,"395009001","Medication stopped - side effect"
72,"412782003","Inappropriate medication stopped"
73,"425519007","Cardiopulmonary resuscitation discontinued due to medical control order"
74,"425921008","Cardiopulmonary resuscitation discontinued due to do not resuscitate order"
75,"426970003","Cardiopulmonary resuscitation discontinued due to return of spontaneous circulation"
