id,code,display
1,"156009","Spine board"
2,"271003","Bone plate"
3,"287000","Air receiver"
4,"291005","Atomizer"
5,"678001","Epilator"
6,"739006","Bicycle ergometer"
7,"793009","Mechanical power press"
8,"882002","Diagnostic implant"
9,"972002","Air filter, device"
10,"989005","Linen cloth"
11,"994005","Brush, device"
12,"1211003","Treadmill, device"
13,"1333003","Emesis basin, device"
14,"1422002","Plastic mold, device"
15,"1579007","Surgical drill, device"
16,"1766001","Toboggan, device"
17,"1941006","Silk cloth"
18,"1962007","Dike, device"
19,"2248009","Tracheal tube cuff"
20,"2282003","Breast implant"
21,"2287009","Nail file, device"
22,"2468001","Breath analyzer, device"
23,"2478003","Ocular prosthesis"
24,"2491002","Intra-aortic balloon catheter, device"
25,"3201004","Tent, device"
26,"3319006","Artificial liver, device"
27,"4408003","Endoscopic camera, device"
28,"4632004","Hair cloth"
29,"4816004","Metal device"
30,"5041003","Adhesive strip, device"
31,"5042005","Patient scale, device"
32,"5159002","Physiologic monitoring system, device"
33,"5679009","Bed sheet"
34,"6012004","Hearing aid"
35,"6097006","T-tube"
36,"6822006","Microwave oven"
37,"6919005","Protective clothing material"
38,"6972009","Lithotripter"
39,"7007007","Radiographic-fluoroscopic unit"
40,"7402007","Probe"
41,"7406005","Crib"
42,"7704007","Stabilizing appliance"
43,"7733008","Hydrocephalic shunt catheter"
44,"7968002","Three-wheeled all-terrain vehicle"
45,"7971005","Fogarty catheter"
46,"8060009","Denture"
47,"8118007","Crane"
48,"8170008","Adhesive"
49,"8384009","Band saw"
50,"8407004","Bile collection bag"
51,"8434001","Gaol"
52,"8451008","Intramedullary nail"
53,"8615009","Blood electrolyte analyzer"
54,"8643000","Mortising machine"
55,"8682003","Protective shield"
56,"9017009","Ventricular intracranial catheter"
57,"9096001","Support"
58,"9129003","Feeding catheter"
59,"9419002","Bobsled"
60,"9458007","Elastic bandage"
61,"9611009","Dermatotome"
62,"9883003","Cargo handling gear"
63,"10244001","Needle guide"
64,"10371004","Electrostimulating analgesia unit"
65,"10507000","Toeboard"
66,"10826000","Industrial saw"
67,"10850003","Radiographic-therapeutic unit"
68,"10906003","Vein stripper"
