id,code,display
1,"106004","Posterior carpal region"
2,"107008","Fetal part of placenta"
3,"108003","Condylar emissary vein"
4,"110001","Visceral layer of Bowman's capsule"
5,"111002","Parathyroid gland"
6,"116007","Subcutaneous tissue of medial surface of index finger"
7,"124002","Coronoid process of mandible"
8,"149003","Central pair of microtubules, cilium or flagellum, not bacterial"
9,"155008","Deep circumflex artery of ilium"
10,"167005","Supraclavicular part of brachial plexus"
11,"202009","Anterior division of renal artery"
12,"205006","Left commissure of aortic valve"
13,"206007","Gluteus maximus muscle"
14,"221001","Articular surface, phalanges, of fourth metacarpal bone"
15,"227002","Canal of Hering"
16,"233006","Hepatocolic ligament"
17,"235004","Superior labial artery"
18,"246001","Lateral vestibular nucleus"
19,"247005","Mesotympanum"
20,"251007","Pectoral region"
21,"256002","Kupffer cell"
22,"263002","Thoracic nerve"
23,"266005","Right lower lobe of lung"
24,"272005","Superior articular process of lumbar vertebra"
25,"273000","Lateral myocardium"
26,"283001","Central axillary lymph node"
27,"284007","Flexor tendon and tendon sheath of fourth toe"
28,"289002","Metacarpophalangeal joint of index finger"
29,"301000","Fifth metatarsal bone"
30,"311007","Plantar surface of great toe"
31,"315003","Skin of umbilicus"
32,"318001","Cardiac impression of liver"
33,"344001","Ankle"
34,"345000","Penetrating atrioventricular bundle"
35,"356000","Reticular corium"
36,"393006","Wall of urinary bladder"
37,"402006","Dental branches of inferior alveolar artery"
38,"405008","Posterior temporal diploic vein"
39,"414003","Gastric fundus"
40,"420002","Anastomosis, heterocladic"
41,"422005","Inferior surface of tongue"
42,"446003","Trochanteric bursa"
43,"457008","Collateral ligament"
44,"461002","Lateral corticospinal tract"
45,"464005","Basophilic normoblast"
46,"465006","Ascending frontal gyrus"
47,"471000","Flexor hallucis longus in leg"
48,"480000","Cardiopulmonary circulatory system"
49,"485005","TC - Transverse colon"
50,"528006","Costal surface of lung"
51,"552004","Vagus nerve parasympathetic fibers to cardiac plexus"
52,"565008","Intervertebral disc space of fifth lumbar vertebra"
53,"582005","Head of phalanx of great toe"
54,"587004","Capsule of proximal interphalangeal joint of third toe"
55,"589001","Interventricular septum"
56,"595000","Palpebral fissure"
57,"608002","Subcutaneous tissue of philtrum"
58,"621009","Multivesicular body, internal vesicles"
59,"635006","Tuberosity of distal phalanx of little toe"
60,"650002","Superior articular process of seventh thoracic vertebra"
61,"660006","Tracheal mucous membrane"
62,"661005","Jaw region"
63,"667009","Embryological structure"
64,"688000","Fetal hyaloid artery"
65,"691000","Small intestine submucosa"
66,"692007","Body of ischium"
67,"723004","Dense intermediate filament bundles"
68,"774007","Head and neck"
69,"790007","Visceral surface of liver"
70,"798000","Deep temporal veins"
71,"808000","Posterior intercostal artery"
72,"809008","Fetal chondrocranium"
73,"823005","Posterior cervical spinal cord nerve root"
74,"830004","Spinous process of fifth thoracic vertebra"
75,"836005","Oral region of face"
76,"885000","Lamina muscularis of colonic mucous membrane"
77,"895007","Anterior cruciate ligament of knee joint"
78,"917004","Superior laryngeal aperture"
79,"921006","Thyrohyoid branch of ansa cervicalis"
80,"947002","Crus of diaphragm"
81,"955009","Bronchus"
82,"976004","Ovarian vein"
83,"996007","Meningeal branch of occipital artery"
84,"1005009","Entire diaphragmatic lymph node"
85,"1012000","Structure of fibrous portion of pericardium"
86,"1015003","Structure of peritonsillar tissue"
87,"1028005","Sebaceous gland structure"
88,"1030007","Structure of vesicular bursa of sternohyoid muscle"
89,"1063000","Frontozygomatic suture of skull"
90,"1075005","Promonocyte"
91,"1076006","Subcutaneous prepatellar bursa"
92,"1086007","Female"
93,"1087003","Sternothyroid muscle"
94,"1092001","Superior occipital gyrus"
95,"1099005","Thymic cortex"
96,"1101003","Cranial cavity"
97,"1106008","Major calyx"
98,"1110006","Tarsal gland"
99,"1122009","Inferior longitudinal muscle of tongue"
100,"1136004","Aortopulmonary septum"
101,"1159005","Frenulum linguae"
102,"1172006","Odontoid process of axis"
103,"1173001","Mandibular nerve"
104,"1174007","Chromosomes, group E"
105,"1193009","Teres major muscle"
106,"1216008","Synostosis"
107,"1231004","Central nervous system meninges"
108,"1236009","Duodenal serosa"
109,"1243003","Inferior articular process of sixth cervical vertebra"
110,"1246006","Dorsal digital nerves of radial nerve"
111,"1263005","Distinctive arrangement of microtubules"
112,"1277008","Vertebral nerve"
113,"1307006","Glottis"
114,"1311000","Telogen hair"
115,"1350001","Deep flexor tendon of index finger"
116,"1353004","Gastric serosa"
117,"1403006","Vastus lateralis muscle"
118,"1425000","Posterior limb of stapes"
119,"1439000","Paravesicular lymph node"
120,"1441004","Laryngeal saccule"
121,"1456008","Yellow fibrocartilage"
122,"1467009","Parietal branch of superficial temporal artery"
123,"1484003","Structure of metatarsal region of foot"
124,"1490004","Soft tissues of trunk"
125,"1502004","Anterior cecal artery"
126,"1511004","Ejaculatory duct"
127,"1516009","Frontomental diameter of head"
128,"1527006","Lamina of fourth thoracic vertebra"
129,"1537001","Intervertebral disc of eleventh thoracic vertebra"
130,"1541002","Coccygeal plexus"
131,"1562001","Nucleus pulposus of intervertebral disc of third lumbar vertebra"
132,"1569005","Nail of third toe"
133,"1580005","Nucleus ventralis lateralis"
134,"1581009","Ileal artery"
135,"1584001","Symphysis"
136,"1600003","Splenius capitis muscle"
137,"1605008","Histioblast"
138,"1610007","Otoconia"
139,"1611006","Paramammary lymph node"
140,"1617005","Intrinsic larynx"
141,"1620002","Metaphase nucleus"
142,"1626008","Third thoracic vertebra"
143,"1627004","Medial collateral ligament of knee joint"
144,"1630006","Supraorbital vein"
145,"1631005","Foregut"
146,"1650005","Hilum of left lung"
147,"1655000","Transverse peduncular tract nucleus"
148,"1659006","Nucleus medialis dorsalis"
149,"1684009","Ligamentum teres of liver"
150,"1706004","Thymic lobule"
151,"1707008","Ventral nuclear group of thalamus"
152,"1711002","Periorbital region"
153,"1716007","Cupula ampullaris"
154,"1721005","Right tonsil"
