id,code,display,defination
1,"DX","Diagnostics or therapeutics unit","A practice setting where diagnostic procedures or therapeutic interventions are performed"
2,"CVDX","Cardiovascular diagnostics or therapeutics unit","A practice setting where cardiovascular diagnostic procedures or therapeutic interventions are performed (e.g., cardiac catheterization lab, echocardiography suite)"
3,"CATH","Cardiac catheterization lab","Cardiac catheterization lab"
4,"ECHO","Echocardiography lab","Echocardiography lab"
5,"GIDX","Gastroenterology diagnostics or therapeutics lab","A practice setting where GI procedures (such as endoscopies) are performed"
6,"ENDOS","Endoscopy lab","(X12N 261QD0000N)"
7,"RADDX","Radiology diagnostics or therapeutics unit","A practice setting where radiology services (diagnostic or therapeutic) are provided (X12N 261QR0200N)"
8,"RADO","Radiation oncology unit","(X12N 261QX0203N)"
9,"RNEU","Neuroradiology unit","Neuroradiology unit"
10,"HOSP","Hospital","An acute care institution that provides medical, surgical, or psychiatric care and treatment for the sick or the injured."
11,"CHR","Chronic Care Facility","(1) A hospital including a physical plant and personnel that provides multidisciplinary diagnosis and treatment for diseases that have one or more of the following characteristics: is permanent; leaves residual disability; is caused by nonreversible pathological alteration; requires special training of the patient for rehabilitation; and/or may be expected to require a long period of supervision or care. In addition, patients require the safety, security, and shelter of these specialized inpatient or partial hospitalization settings. (2) A hospital that provides medical and skilled nursing services to patients with long-term illnesses who are not in an acute phase but who require an intensity of services not available in nursing homes"
12,"GACH","Hospitals; General Acute Care Hospital","(X12N 282N00000N)"
13,"MHSP","Military Hospital","A health care facility operated by the Department of Defense or other military operation."
14,"PSYCHF","Psychatric Care Facility","Healthcare facility that cares for patients with psychiatric illness(s)."
15,"RH","Rehabilitation hospital","(X12N 283X00000N)"
16,"RHAT","addiction treatment center","Description: A location that plays the role of delivering services which may include life training and/or social support to people with addictions."
17,"RHII","intellectual impairment center","Description: A location that plays the role of delivering services which may include adaptation, rehabilitation and social integration services for people with intellectual and/or pervasive development disorders such as autism or severe behaviour disorder."
18,"RHMAD","parents with adjustment difficulties center","Description: A location that plays the role of delivering services which may social support services for adolescents who are pregnant or have child and are experiencing adaptation issues/difficulties in their current or eventual parenting role."
19,"RHPI","physical impairment center","Description: A location that plays the role of delivering services which may include adaptation, rehabilitation and social integration services for people with physical impairments."
20,"RHPIH","physical impairment - hearing center","Description: A location that plays the role of delivering services for people with hearing impairments."
21,"RHPIMS","physical impairment - motor skills center","Description: A location that plays the role of delivering services for people with motor skill impairments."
22,"RHPIVS","physical impairment - visual skills center","Description: A location that plays the role of delivering services for people with visual skill impairments."
23,"RHYAD","youths with adjustment difficulties center","Description: A location that plays the role of delivering services which may include life training and/or social support services for the adaption, rehabilitation and social integration of youths with adjustment difficulties."
24,"HU","Hospital unit","Hospital unit"
25,"BMTU","Bone marrow transplant unit","Bone marrow transplant unit"
26,"CCU","Coronary care unit","Coronary care unit"
27,"CHEST","Chest unit","A specialty unit in hospital that focuses on chronic respirator patients and pulmonary failure"
28,"EPIL","Epilepsy unit","Epilepsy unit"
29,"ER","Emergency room","The section of a health care facility for providing rapid treatment to victims of sudden illness or trauma."
30,"ETU","Emergency trauma unit","Emergency trauma unit"
31,"HD","Hemodialysis unit","Hemodialysis unit"
