id,code,display
1,"22566001","Cytology brush, device"
2,"463568005","Pleural drainage system fluid collector"
3,"464527005","Paediatric blood donor set"
4,"464573007","Assisted reproduction needle, reprocessed"
5,"464784003","Assisted reproduction catheter"
6,"464946000","Assisted reproduction needle, single-use"
7,"465046006","Assisted reproduction cryotube"
8,"465091002","Tissue extraction bag"
9,"465141003","Otological bone particle collector"
10,"465487000","Rigid endotherapy cytology brush, reusable"
11,"466164006","Rigid endotherapy cytology brush, single-use"
12,"466421006","Viscerotome"
13,"466447002","Blood-processing autotransfusion system container"
14,"466623002","Blood gas syringe/needle, sodium heparin"
15,"466637006","Blood donor set, quad-pack"
16,"466704003","Blood collection/fat content reduction device"
17,"466844004","Blood donor set, double-pack"
18,"466898000","Blood donor set, quin-pack"
19,"466930006","Blood donor set, triple-pack"
20,"467030004","Blood gas syringe/needle, lithium heparin"
21,"467131002","Blood autotransfusion system tubing"
22,"467132009","Blood donor set, single-pack"
23,"467141004","Blood donor set, many-pack"
24,"467182004","Cervical cytology inflatable collector"
25,"467330006","Adipose tissue stem cell recovery unit"
26,"467431009","Abortion suction system collection bottle"
27,"467499008","Chorionic villus sampling catheter"
28,"467647004","Cryostat microtome"
29,"467697000","Cytology scraper, single-use"
30,"467743009","Bone marrow explant needle"
31,"467967005","Cytology scraper, reusable"
32,"467989009","Capillary blood collection tube, no-additive"
33,"468076003","Bone marrow collection/transfusion set"
34,"468131000","Cervical cytology brush"
35,"468200003","Epididymal fluid aspiration catheter"
36,"468981005","Dental bone particle collector"
37,"468999002","Endometrial cytology brush"
38,"469287008","Intrauterine secretion scoop"
39,"469322002","Intravascular catheter endoluminal brush"
40,"469454007","Intrauterine scoop"
41,"469822008","Flexible endotherapy cytology brush, single-use"
42,"470114007","Flexible endotherapy cytology brush, reusable"
43,"470547006","General-purpose cytology brush"
44,"470597005","Gastro-urological scoop"
45,"700855008","Tissue/fluid collection bag, sterile"
46,"700905004","Specimen container mailer, insulated"
47,"700906003","Specimen container mailer, non-insulated"
48,"700945008","Blood cell freeze/thaw system set"
49,"700955007","Blood collection Luer-syringe adaptor"
50,"700956008","Blood collection needle, basic"
51,"700957004","Blood/tissue storage/culture container"
52,"701394007","General specimen receptacle transport container"
53,"701516009","Evacuated blood collection tube transport container"
54,"701720006","Tissue/fluid collection bag, non-sterile"
55,"702120003","Blood collection Luer adaptor"
56,"702223006","Sputum specimen container"
57,"702224000","Midstream urine specimen container"
58,"702232008","Sweat specimen container IVD"
59,"702244006","Sterile urine specimen container"
60,"702256007","Non-evacuated blood collection tube, no additive"
61,"702264001","Non-sterile urine specimen container IVD"
62,"702268003","General specimen container, no additive, non-sterile"
63,"702269006","General specimen container, no additive, sterile"
64,"702275002","Microcapillary blood collection tube, ammonium heparin"
65,"702276001","Microcapillary blood collection tube, K2EDTA"
66,"702277005","Microcapillary blood collection tube, no additive"
67,"702278000","Evacuated blood collection tube, no additive/metal-free"
68,"702279008","Evacuated blood collection tube, gel separator"
69,"702280006","Evacuated blood collection tube, RNA stabilizer"
70,"702281005","Evacuated blood collection tube, thrombin/clot activator/gel separator"
71,"702282003","Non-evacuated blood collection tube, EDTA"
72,"702283008","Non-evacuated blood collection tube, gel separator"
73,"702284002","Non-evacuated blood collection tube, lithium heparin"
74,"702285001","Non-evacuated blood collection tube, lithium heparin/gel separator, sterile"
75,"702286000","Non-evacuated blood collection tube, NaEDTA/sodium fluoride"
76,"702287009","Non-evacuated blood collection tube, potassium oxalate/sodium fluoride"
77,"702288004","Evacuated urine specimen container, boric acid (H3BO3)/sodium formate"
78,"702289007","Evacuated urine specimen container, ethyl paraben/sodium porpionate/chlorhexidine"
79,"702290003","Cervical cytology microscopy slide"
80,"702292006","Evacuated blood collection tube , K3EDTA/sodium fluoride"
81,"702293001","Evacuated blood collection tube, K2EDTA/aprotinin"
82,"702294007","Syringe-blood collection tube transfer"
83,"702295008","Non-evacuated blood collection tube, clot activator/gel separator"
84,"702296009","Non-evacuated blood collection tube, sodium citrate"
85,"702297000","Non-evacuated blood collection tube, clot activator"
86,"702298005","Non-evacuated blood collection tube, K3EDTA"
87,"702299002","Non-evacuated blood collection tube, K2EDTA"
88,"702300005","Non-evacuated blood collection tube, lithium heparin/gel separator, non-sterile"
89,"702301009","Microcapillary blood collection funnel"
90,"702302002","Evacuated urine specimen container, boric acid (H3BO3)"
91,"702303007","Evacuated urine specimen container, multiple preservative"
92,"702304001","Microcapillary blood transfer tube, clot activator"
93,"702305000","Microcapillary blood transfer tube, sodium fluoride"
94,"702306004","Microcapillary blood transfer tube, EDTA"
95,"702307008","Microcapillary blood transfer tube IVD, heparin"
96,"702308003","Evacuated urine specimen container IVD, no additive"
97,"702309006","Saliva specimen container IVD, no additive"
98,"702310001","Evacuated saliva specimen container IVD, sodium azide"
99,"704866005","Orthopedic bone particle collector, reusable"
100,"704921002","Hemoperfusion tubing set"
101,"706042001","Clinical sampling brush"
102,"706044000","Endotherapy cytology brush"
103,"706045004","Bone particle collector"
104,"706046003","Specimen receptacle"
105,"706047007","Fecal specimen container"
106,"706048002","Blood specimen receptacle"
107,"706049005","Blood tube"
108,"706050005","Microcapillary blood collection tube"
109,"706051009","Non-evacuated blood collection tube"
110,"706052002","Evacuated blood collection tube"
111,"706053007","General specimen container"
112,"706054001","Urine specimen container"
113,"706055000","24-hour urine specimen container"
114,"706056004","Evacuated urine specimen container"
115,"706057008","Cytology specimen container"
116,"706058003","Secretory specimen container"
117,"706067003","Blood collection/transfer device"
118,"706070004","Blood donor set"
119,"706071000","Specimen receptacle transport container"
120,"712485008","Autologous blood collection tube"
121,"713951005","Adipose tissue stem cell recovery unit, ultrasonic"
122,"714731008","Blood component separator"
123,"718301008","Urological fluid funnel, sterile"
124,"718302001","Urological fluid funnel, non-sterile"
