id,code,display
1,"ABS","Abscess"
2,"ACNE","Tissue, Acne"
3,"ACNFLD","Fluid, Acne"
4,"AIRS","Air Sample"
5,"ALL","Allograft"
6,"AMN","Amniotic fluid"
7,"AMP","Amputation"
8,"ANGI","Catheter Tip, Angio"
9,"ARTC","Catheter Tip, Arterial"
10,"ASERU","Serum, Acute"
11,"ASP","Aspirate"
12,"ATTE","Environment, Attest"
13,"AUTOA","Environmental, Autoclave Ampule"
14,"AUTOC","Environmental, Autoclave Capsule"
15,"AUTP","Autopsy"
16,"BBL","Blood bag"
17,"BCYST","Cyst, Baker's"
18,"BDY","Whole body"
19,"BIFL","Bile Fluid"
20,"BITE","Bite"
21,"BLD","Whole blood"
22,"BLDA","Blood arterial"
23,"BLDCO","Cord blood"
24,"BLDV","Blood venous"
25,"BLEB","Bleb"
26,"BLIST","Blister"
27,"BOIL","Boil"
28,"BON","Bone"
29,"BOWL","Bowel contents"
30,"BPH","Basophils"
31,"BPU","Blood product unit"
32,"BRN","Burn"
33,"BRSH","Brush"
34,"BRTH","Breath (use EXHLD)"
35,"BRUS","Brushing"
36,"BUB","Bubo"
37,"BULLA","Bulla/Bullae"
38,"BX","Biopsy"
39,"CALC","Calculus (=Stone)"
40,"CARBU","Carbuncle"
41,"CAT","Catheter"
42,"CBITE","Bite, Cat"
43,"CDM","Cardiac muscle"
44,"CLIPP","Clippings"
45,"CNJT","Conjunctiva"
46,"CNL","Cannula"
47,"COL","Colostrum"
48,"CONE","Biospy, Cone"
49,"CSCR","Scratch, Cat"
50,"CSERU","Serum, Convalescent"
51,"CSF","Cerebral spinal fluid"
52,"CSITE","Catheter Insertion Site"
53,"CSMY","Fluid, Cystostomy Tube"
54,"CST","Fluid, Cyst"
55,"CSVR","Blood, Cell Saver"
56,"CTP","Catheter tip"
57,"CUR","Curretage"
58,"CVM","Cervical Mucus"
59,"CVPS","Site, CVP"
60,"CVPT","Catheter Tip, CVP"
61,"CYN","Nodule, Cystic"
62,"CYST","Cyst"
63,"DBITE","Bite, Dog"
64,"DCS","Sputum, Deep Cough"
65,"DEC","Ulcer, Decubitus"
66,"DEION","Environmental, Water (Deionized)"
67,"DIA","Dialysate"
68,"DIAF","Dialysis Fluid"
69,"DISCHG","Discharge"
70,"DIV","Diverticulum"
71,"DRN","Drain"
72,"DRNG","Drainage, Tube"
73,"DRNGP","Drainage, Penrose"
74,"DUFL","Duodenal fluid"
75,"EARW","Ear wax (cerumen)"
76,"EBRUSH","Brush, Esophageal"
77,"EEYE","Environmental, Eye Wash"
78,"EFF","Environmental, Effluent"
79,"EFFUS","Effusion"
80,"EFOD","Environmental, Food"
81,"EISO","Environmental, Isolette"
82,"ELT","Electrode"
83,"ENVIR","Environmental, Unidentified Substance"
84,"EOS","Eosinophils"
85,"EOTH","Environmental, Other Substance"
86,"ESOI","Environmental, Soil"
87,"ESOS","Environmental, Solution (Sterile)"
88,"ETA","Aspirate, Endotrach"
89,"ETTP","Catheter Tip, Endotracheal"
90,"ETTUB","Tube, Endotracheal"
91,"EWHI","Environmental, Whirlpool"
92,"EXG","Gas, exhaled (=breath)"
93,"EXS","Shunt, External"
94,"EXUDTE","Exudate"
95,"FAW","Environmental, Water (Well)"
96,"FBLOOD","Blood, Fetal"
97,"FGA","Fluid, Abdomen"
98,"FIB","Fibroblasts"
99,"FIST","Fistula"
100,"FLD","Fluid, Other"
101,"FLT","Filter"
102,"FLU","Fluid, Body unsp"
103,"FLUID","Fluid"
104,"FOLEY","Catheter Tip, Foley"
105,"FRS","Fluid, Respiratory"
106,"FSCLP","Scalp, Fetal"
107,"FUR","Furuncle"
108,"GAS","Gas"
109,"GASA","Aspirate, Gastric"
110,"GASAN","Antrum, Gastric"
111,"GASBR","Brushing, Gastric"
112,"GASD","Drainage, Gastric"
113,"GAST","Fluid/contents, Gastric"
114,"GENL","Genital lochia"
115,"GENV","Genital vaginal"
116,"GRAFT","Graft"
117,"GRAFTS","Graft Site"
118,"GRANU","Granuloma"
119,"GROSH","Catheter, Groshong"
120,"GSOL","Solution, Gastrostomy"
121,"GSPEC","Biopsy, Gastric"
122,"GT","Tube, Gastric"
123,"GTUBE","Drainage Tube, Drainage (Gastrostomy)"
124,"HAR","Hair"
125,"HBITE","Bite, Human"
126,"HBLUD","Blood, Autopsy"
127,"HEMAQ","Catheter Tip, Hemaquit"
128,"HEMO","Catheter Tip, Hemovac"
129,"HERNI","Tissue, Herniated"
130,"HEV","Drain, Hemovac"
131,"HIC","Catheter, Hickman"
132,"HYDC","Fluid, Hydrocele"
133,"IBITE","Bite, Insect"
134,"ICYST","Cyst, Inclusion"
135,"IDC","Catheter Tip, Indwelling"
136,"IHG","Gas, Inhaled"
137,"ILEO","Drainage, Ileostomy"
138,"ILLEG","Source of Specimen Is Illegible"
139,"IMP","Implant"
140,"INCI","Site, Incision/Surgical"
141,"INFIL","Infiltrate"
142,"INS","Insect"
143,"INTRD","Catheter Tip, Introducer"
144,"ISLT","Isolate"
145,"IT","Intubation tube"
146,"IUD","Intrauterine Device"
147,"IVCAT","Catheter Tip, IV"
148,"IVFLD","Fluid, IV"
149,"IVTIP","Tubing Tip, IV"
150,"JEJU","Drainage, Jejunal"
151,"JNTFLD","Fluid, Joint"
152,"JP","Drainage, Jackson Pratt"
153,"KELOI","Lavage"
154,"KIDFLD","Fluid, Kidney"
155,"LAVG","Lavage, Bronhial"
156,"LAVGG","Lavage, Gastric"
157,"LAVGP","Lavage, Peritoneal"
