id,code,display
1,"102002","Hemoglobin Okaloosa"
2,"120006","Ornithine racemase"
3,"125001","Ferrous sulfate Fe^59^"
4,"126000","Galactosyl-N-acetylglucosaminylgalactosylglucosylceramide alpha-galactosyltransferase"
5,"130002","Hemoglobin Hopkins-II"
6,"131003","Dolichyl-phosphate mannosyltransferase"
7,"159002","Ferrocyanide salt"
8,"164003","Phosphoenolpyruvate-protein phosphotransferase"
9,"178002","Uridyl diphosphate galactose"
10,"186002","HLA-Cw9 antigen"
11,"187006","Cyanocobalamin Co^57^"
12,"200001","Berberine"
13,"217008","Blood group antigen IH"
14,"231008","3-Hydroxyisobutyrate dehydrogenase"
15,"238002","Heptachlor"
16,"261000","Codeine phosphate"
17,"296000","Coumachlor"
18,"322006","Octylphenoxy P.H. ethanol"
19,"327000","^76^Arsenic"
20,"329002","^127^Antimony"
21,"336001","Fibrinogen Tokyo II"
22,"340005","Enzyme variant"
23,"363000","Fibrinogen San Juan"
24,"370000","beta>2S< Glycoprotein"
25,"371001","Acylcarnitine hydrolase"
26,"377002","Sparteine"
27,"392001","^151^Gadolinium"
28,"395004","Immunoglobulin pentamer"
29,"412004","Ribose-5-phosphate isomerase"
30,"424006","Citramalyl-CoA lyase"
31,"425007","Hemoglobin Nagoya"
32,"432003","Carminic acid"
33,"438004","2-Hydroxyglutarate dehydrogenase"
34,"462009","Urease (ATP-hydrolysing)"
35,"472007","Vegetable textile fiber"
36,"476005","CD1b - Cluster of differentiation antigen 1b"
37,"498001","Nitrilase"
38,"501001","Blood group antibody Sf^a^"
39,"505005","Blood group antibody M'"
40,"506006","3-Oxosteroid delta^1^-dehydrogenase"
41,"515004","Blood group antigen Giaigue"
42,"519005","Free protein S"
43,"521000","^197^Mercury"
44,"529003","Guanosine"
45,"538001","2,3-Dihydroxybenzoate 3,4-dioxygenase"
46,"566009","Acrosin"
47,"576007","Blood group antibody Duck"
48,"578008","Hemoglobin Jianghua"
49,"584006","Blood group antibody Wr^b^"
50,"585007","SP - Substance P"
51,"591009","2-Oxoisovalerate dehydrogenase (acylating)"
52,"593007","Blood group antibody Holmes"
53,"594001","2-Oxoglutarate synthase"
54,"597008","^247^Californium"
55,"604000","Plant sapogenin glycoside"
56,"611001","Hippurate hydrolase"
57,"620005","Trichlorophenol"
58,"648005","Oil of calamus"
59,"662003","Aeromonas proteolytica aminopeptidase"
60,"668004","^185^Osmium"
61,"683009","Mercuric acetate"
62,"686001","Plastoquinol-plastocyanin reductase"
63,"693002","Trichothecene"
64,"698006","Erythromycin lactobionate"
65,"699003","Coal tar extract"
66,"704006","Blood group antigen Rx"
67,"732002","N-valeraldehyde"
68,"735000","Blood group antigen Jobbins"
69,"747006","Oxamniquine"
70,"773001","Hemoglobin M-Iwate"
71,"785009","Dextranase"
72,"804003","Creosotic acid"
73,"819002","Lytic antibody"
74,"850000","Stizolobate synthase"
75,"859004","Peptide-N^4^-(N-acetyl-b-glucosaminyl) asparagine amidase"
76,"860009","Immunoglobulin, aggregated"
77,"873008","Urethan"
78,"876000","D antigen"
79,"877009","Carboxypeptidase A"
80,"889006","[Acetyl-CoA carboxylase] kinase"
81,"896008","Ice"
82,"905001","o-Dihydroxycoumarin O^7^-glucosyltransferase"
83,"923009","Complement component 2"
84,"925002","Sodium iodipamide"
85,"963005","Pyridoxine 4-dehydrogenase"
86,"974001","Adenosylmethionine decarboxylase"
87,"979006","Carbamate kinase"
88,"993004","Palladium compound"
89,"1002007","Mannotetraose 2-alpha-N-acetylglucosaminyltransferase"
90,"1010008","N-Acetylneuraminate monooxygenase"
91,"1018001","Nornicotine"
92,"1025008","^93^Molybdenum"
93,"1047008","Guanine deaminase"
94,"1050006","Melilotate 3-monooxygenase"
95,"1057009","Phosphate salt"
96,"1065007","E. coli periplasmic proteinase"
97,"1080001","^202^Thallium"
98,"1091008","Coagulation factor inhibitor"
99,"1097007","Blood group antigen M^A^"
100,"1105007","Isochorismate synthase"
101,"1113008","Pancreatic ribonuclease"
102,"1137008","^240^Uranium"
103,"1149009","Hemoglobin Barcelona"
104,"1160000","Antibody to antigen in ISBT system LU"
105,"1166006","Ti - Titanium"
106,"1169004","Hemoglobin Gower-2"
107,"1171004","Fibrinogen Kawaguchi"
108,"1185009","Hemoglobin Roseau-Pointe à Pitre"
109,"1189003","Hemoglobin F-M-Osaka"
110,"1190007","Mephenoxalone"
111,"1219001","Diethyl xanthogen disulfide"
112,"1223009","Blood group antigen Marks"
113,"1244009","Fibrinogen Madrid I"
114,"1248007","Leucostoma neutral proteinase"
115,"1269009","Amikacin sulfate"
