id,code,display
1,"pat","Patient"
2,"pat-crs","Patient: Canceled via automated reminder system"
3,"pat-cpp","Patient: Canceled via Patient Portal"
4,"pat-dec","Patient: Deceased"
5,"pat-fb","Patient: Feeling Better"
6,"pat-lt","Patient: Lack of Transportation"
7,"pat-mt","Patient: Member Terminated"
8,"pat-mv","Patient: Moved"
9,"pat-preg","Patient: Pregnant"
10,"pat-swl","Patient: Scheduled from Wait List"
11,"pat-ucp","Patient: Unhappy/Changed Provider"
12,"prov","Provider"
13,"prov-pers","Provider: Personal"
14,"prov-dch","Provider: Discharged"
15,"prov-edu","Provider: Edu/Meeting"
16,"prov-hosp","Provider: Hospitalized"
17,"prov-labs","Provider: Labs Out of Acceptable Range"
18,"prov-mri","Provider: MRI Screening Form Marked Do Not Proceed"
19,"prov-onc","Provider: Oncology Treatment Plan Changes"
20,"maint","Equipment Maintenance/Repair"
21,"meds-inc","Prep/Med Incomplete"
22,"other","Other"
23,"oth-cms","Other: CMS Therapy Cap Service Not Authorized"
24,"oth-err","Other: Error"
25,"oth-fin","Other: Financial"
26,"oth-iv","Other: Improper IV Access/Infiltrate IV"
27,"oth-int","Other: No Interpreter Available"
28,"oth-mu","Other: Prep/Med/Results Unavailable"
29,"oth-room","Other: Room/Resource Maintenance"
30,"oth-oerr","Other: Schedule Order Error"
31,"oth-swie","Other: Silent Walk In Error"
32,"oth-weath","Other: Weather"




